What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Nope,Select---,None,Select---,Nothing,Select---,None,Select---
None,Select---,He teaching is clear and easy to understand,Select---,None,Select---,None,Select---
NA,Select---,Very kind and insightful,Select---,NA,Select---,Na,Select---
None,Select---,Great and easy to understand the lesson,Select---,None,Select---,None,Select---
N/A,Select---,He explains the lesson very well,Select---,N/A,Select---,N/A,Select---
NA,Select---,Na,Select---,Na,Select---,Na,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
None,Select---,Our professor notif us immediately before our quiz or exams,Select---,It's a bit hard to master,Select---,None,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
None,Select---,It's teaching is clear and easy to understand,Select---,None,Select---,None,Select---
More engagement,Select---,NA,Select---,NA,Select---,NA,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
Always patience,Select---,Voices,Select---,"Funny, Best teaching ",Select---,N/A,Select---
None,Select---,Easy to understand in the lesson when he teach,Select---,None,Select---,None,Select---
NA,Select---,Friendly nature and helpful,Select---,NA,Select---,NA,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
None,Select---,Great at teaching,Select---,None,Select---,None,Select---
None,Select---,Great at teaching,Select---,None,Select---,None,Select---
I think improve the teaching of this course,Select---,NA,Select---,NA,Select---,NA,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
None,Select---,It's teachings because I understand the lesson well,Select---,None,Select---,None,Select---
N/A,Select---,Simple and precise,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Fun and Easy to Understand,Select---,N/A,Select---,N/A,Select---
"The course was good kind of similar to information management, i guess its the professor who needs to improve a little in their teaching",Select---,The games,Select---,Madaming assignments 😞,Select---,"It was my first time being in one of your class, u did well :3",Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
Nothing,Select---,The way she delivers the lesson,Select---,All,Select---,None,Select---
NA,Select---,Gives lessons,Select---,None,Select---,None,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
Strategy teaching,Select---,Chillness,Select---,Chillness,Select---,N/A,Select---
More understanding,Select---,None,Select---,None,Select---,No,Select---
"The course was okay, probably the professor assigned to this should try a little more..",Select---,Chill,Select---,Chill,Select---,:),Select---
No idea.,Select---,Straightforwardness.,Select---,No idea.,Select---,None.,Select---
Teaching,Select---,N/A,Select---,Teaching,Select---,N/A,Select---
nonw,Select---,not too strict,Select---,none,Select---,not much,Select---
Study,Select---,Cooperate,Select---,Easy intructionss,Select---,Nothing,Select---
NA,Select---,The recap of lessons,Select---,NA,Select---,NA,Select---
No idea.,Select---,Eagerness to help in solving.,Select---,None.,Select---,None.,Select---
Already good,Select---,Approach,Select---,N/A,Select---,N/A,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
"Nothing, the outline is good",Select---,Chillness,Select---,Chillness,Select---,"Congrats sir on being the new adviser sa upcoming school year!! Youre a good teacher, pero sa sobrang chill mo sir nagiging tamad ka magturo minsan 😞😞",Select---
No idea.,Select---,Straightforwardness.,Select---,No idea.,Select---,None.,Select---
None,Select---,None,Select---,None,Select---,None,Select---
New system or computers,Select---,None,Select---,Late,Select---,None,Select---
Teaching,Select---,N/A,Select---,Teachint,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
No idea.,Select---,Formality.,Select---,No idea.,Select---,None.,Select---
None,Select---,Activities,Select---,None,Select---,None,Select---
NA,Select---,Interesting,Select---,NA,Select---,NA,Select---
Pc and rooms,Select---,Good,Select---,Good,Select---,None,Select---
None,Select---,the teaching are straight forward that makes the learning easier,Select---,I am well informed of the information in this subject.,Select---,none,Select---
Teachint,Select---,N/A,Select---,Teaching,Select---,N/A,Select---
Nothing,Select---,Chillness,Select---,Chillness,Select---,Hope to be under your class again in the next school year :3,Select---
none,Select---,very good,Select---,good in teaching,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Already good,Select---,Teaching,Select---,Busy,Select---,N/A,Select---
NA,Select---,Interesting topics,Select---,NA,Select---,NA,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,None,Select---,None,Select---,None,Select---
Nothing,Select---,The way she teaches,Select---,Busy,Select---,Pagbigyan sa Thesis 😞😞,Select---
.,Select---,.,Select---,.,Select---,.,Select---
None,Select---,Good in teaching,Select---,None,Select---,None,Select---
none,Select---,none,Select---,none,Select---,none,Select---
None.,Select---,Availability and Helpfulness.,Select---,No idea.,Select---,None.,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,None,Select---,None,Select---,None,Select---
Up to the staff to decide :3,Select---,Chillness,Select---,Chillness,Select---,,Select---
.,Select---,.,Select---,.,Select---,.,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,None,Select---,None,Select---,None,Select---
.,Select---,.,Select---,.,Select---,.,Select---
,Select---,Chillness,Select---,Chillness,Select---,,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None.,Select---,Availability.,Select---,No idea.,Select---,None.,Select---
.,Select---,.,Select---,.,Select---,.,Select---
none,Select---,none,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
.,Select---,.,Select---,.,Select---,.,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
.,Select---,.,Select---,.,Select---,.,Select---
none,Select---,none,Select---,none,Select---,none,Select---
.,Select---,.,Select---,.,Select---,.,Select---
.,Select---,.,Select---,.,Select---,.,Select---
nothing,Select---,friendly,Select---,nothing,Select---,nothing,Select---
none,Select---,none,Select---,none,Select---,none,Select---
none,Select---,none,Select---,none,Select---,none,Select---
Time allotment,Select---,Pratical,Select---,Absent,Select---,None,Select---
Everything is excellent,Select---,Everything is excellent,Select---,Everything is excellent,Select---,Everything is excellent,Select---
Everything is excellent,Select---,Everything is excellent,Select---,Everything is excellent,Select---,Everything is excellent,Select---
makes the lesson more interesting and productive,Select---,the full of wisdom and experience,Select---,sometimes the lack of demonstration,Select---,more engaging lesson and makes everything productive,Select---
Nothing,Select---,He is smart,Select---,Nothing,Select---,No,Select---
No,Select---,No,Select---,No,Select---,No,Select---
To make the lessons correlate with something students are highly interested about.,Select---,somehow interactive,Select---,none,Select---,none,Select---
"To be fair, such a thrilling subject, you never know what's coming for you unless you attend the session every day. Although, it's not built for those who aren't prepared for the course, however it taught how to work well under pressure and that not everything is going to be in your favor. ",Select---,Practicality.,Select---,"I guess when sometimes I feel hopeless about the course, since it makes me feel less of heard and understood?",Select---,Hoping for more improvements.,Select---
None,Select---,He tends to guide/give needed answers base on students questions,Select---,None,Select---,None,Select---
None,Select---,He give informative answers to every question of the students,Select---,none,Select---,none,Select---
The instructor needs to put effort,Select---,None,Select---,"When we ask questions, he/she will ask a question back",Select---,None,Select---
None,Select---,The instructor encourages students to ask questions so that he/she will make it more clear f the students,Select---,None,Select---,None,Select---
Visual aids needs to be shorten and include important information,Select---,None,Select---,Read all what was in the presentation then explains it,Select---,None,Select---
The prof will go early,Select---,He makes jokes to lighten everyone's mood to make students learn effectively,Select---,None,Select---,None,Select---
None,Select---,"Explains the topic clearly, and will repeat and ask about it for improved learning",Select---,none,Select---,none,Select---
The prof needs to go on time,Select---,He lets us understand and ask questions about the lessons,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
More Hand's On Exercises,Select---,Being Approachable and Someone who I can look up to,Select---,None,Select---,None,Select---
"None, sir Marv's teaching is already top notch :))",Select---,The way he's open to talk and answer questions whether it's right or wrong,Select---,None.,Select---,None.,Select---
"None, [PROFESSOR] teaching is already enough with the experience's he have and shared it was full of fun memories and the learning curve was straighten a little bit with he's teaching.",Select---,Full of jokes and Constructive Criticism,Select---,None,Select---,None.,Select---
nothing.,Select---,approachable and kind prof.,Select---,nothing.,Select---,none.,Select---
nothing.,Select---,sir makes it easier to understand the lecture.,Select---,nothing.,Select---,none.,Select---
None,Select---,The challenge,Select---,None,Select---,None,Select---
None,Select---,Energetic,Select---,None,Select---,None,Select---
None,Select---,It's simple and easy to understand,Select---,None,Select---,None,Select---
None,Select---,Indulging,Select---,None,Select---,None,Select---
None,Select---,Chill,Select---,None,Select---,None,Select---
Inquire with the instructor of the pre requisite course to ensure smooth transition of lessons for the students.,Select---,"His preparedness and mastery of the subject, and his ability to explain the lessons in a way that is easily absorbed by the students.",Select---,"Nothing, the standard is met and exceeded.",Select---,Associate with the instructors of pre requisite courses for smooth transition of lessons,Select---
None,Select---,"Sir does give a lot of feedback so while we’re doing lab activities and i’m faced with errors or for some reason, just behind in class, calling for his attention does help because he tells us where our errors are and tells us how to do it correctly. And if the entire class is lost on a certain topic, he does his best to explain it once more so that everyone is able to understand and we proceed with the class with no one being left behind.",Select---,"I don’t know about other students but I would actually like to get my exam/ quiz papers back after it has been corrected by our instructor but other than that, my instructor teaches his subject well.",Select---,None,Select---
None,Select---,It was a very straight forward class. Easy explanations were given on the topics and clear instructions were given for our assignments. He checks our assignments during our class time with him so we received our grades from him almost immediately. He also returns us our exam booklets/ lets us know how much we scored in our exams.,Select---,None,Select---,None,Select---
None,Select---,Constantly asks us if we’ve understood the topics he has explained and is willing to explain again if students do not.,Select---,"I don’t know about other students but I would actually like to get my exam/ quiz papers back after it has been corrected by our instructor but other than that, everything’s fine.",Select---,The lecture part of this subject was understandable but applying it into our lab activities was extremely difficult for me. Maybe more guidance when doing lab activities would help with this?,Select---
None,Select---,Constantly asks us if we’ve understood the topics he has explained and is willing to explain again if students do not.,Select---,None,Select---,The lecture part of this subject was understandable but the lab part was difficult for me. Maybe more guidance when doing lab activities would help with this?,Select---
Time management,Select---,He makes the subject more enjoyable and at the same time making us understand the lessons he's been teaching.,Select---,None,Select---,"In terms of teaching, he makes the lessons a lot more easier to comprehend.",Select---
Time management,Select---,"His way of teaching, like making us understand the lessons a lot more easier and giving us challenge to fully understand and to gain skills.",Select---,None.,Select---,None.,Select---
Time management,Select---,Comprehensive Teaching,Select---,"He always don't come to our class because he is busy on his other work other than teaching, but we enjoy having class with him.",Select---,None.,Select---
Time management,Select---,Learning while having fun,Select---,None,Select---,None,Select---
Time management,Select---,Up to date learning,Select---,None,Select---,None,Select---
None,Select---,Friendly,Select---,None,Select---,None,Select---
None,Select---,Friendly,Select---,None,Select---,None,Select---
None,Select---,Very understanding to the students,Select---,None,Select---,None,Select---
A brief overview about website tools to use such as figma.,Select---,Allows collaborative work and grade students based on their contribution to said groups.,Select---,Advanced advices which often students can't keep up,Select---,Construct simple comments about the students work to boost effectivity of communication to improve projects,Select---
"The course was absorbed by the students pretty good, it met the standard of the course.",Select---,"Discussions were interactive, boosting the learning of students ",Select---,"Some topics lack time, which results to skimming which some students may not keep up",Select---,Keep some lessons simple with ample time for the students to fully grasp this introductory course,Select---
Include more hands-on coding exercises and real-world project applications to strengthen practical understanding.,Select---,The instructor explained complex topics clearly and was always open to student questions.,Select---,"Sometimes the pacing was a bit fast, especially during new or advanced topics.",Select---,"Overall, a great learning experience. ",Select---
N/A,Select---,"For being responsible to the students, teaching students equally.",Select---,N/A,Select---,N/A,Select---
N/A,Select---,Provides significant info and giving exercises to do at home.,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Uses analogies to explain concepts,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Provides feedback in a simple way.,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Don't hire this kind of teacher who don't have the capacity to teach,Select---,I don't have any cause she doesn't know how to teach even her she doesn't know the topic at all.,Select---,I hate it all.,Select---,"Don't hire this kind of teacher it will ruin the name of the school, in my point I'm already very disappointed of what happen to us, I'm expecting to learn programming but instead this teacher doesn't know how to code. How could she teach us if she doesn't even know how?! If i could rate a negative to this i would.",Select---
The teacher,Select---,Nothing,Select---,Nothing because it's very poor performance.,Select---,Her voice os very low she can only hear her voice.,Select---
Nothing,Select---,The vibes he do really connect with the students and make sure everyone is learning.,Select---,Nothing cause i like it all,Select---,I do really appreciate this kind of teacher this is the standard that the school need.,Select---
Nothing to improve cause it's already perfect.,Select---,"She has the mastery of the subject, and also she's very approachable ",Select---,Nothing.,Select---,This should be the standard when hiring a college instructor.,Select---
Nothing,Select---,Approachable,Select---,Nothing,Select---,I really like it.,Select---
The phasing it should be slower a little bit when explaining something.,Select---,Has the mastery of the subject,Select---,Explain faster,Select---,Just explain a little slower,Select---
Don't let the student do the reporting it should be the teacher who explain.,Select---,Engaging lesson,Select---,He's letting the students do the reports but not all student can explain it.,Select---,It's should be the teacher not the student.,Select---
Change instructor who has mastery of the subject.,Select---,Nothing,Select---,Grading system is not much with the teaching,Select---,Grading system is not much with the teaching,Select---
Nothing,Select---,Making fun and engaging the subject,Select---,Nothing,Select---,This is the standard that i want when it comes to instructor,Select---
Having more interaction with the teachers,Select---,His straight up answers,Select---,Few minutes late,Select---,None,Select---
More communication between students and professors.,Select---,She gives us work based on the powerpoint she posts which makes us independent.,Select---,Her reading from the powerpoint and not explaining further like putting the problems in situations and examples. It was very fast paced and she moves on to a new lesson right away after the other.,Select---,"Hope she interacts with the students more, like making fun activities if the students really did understand anything because sometimes students lie about understanding the lessons because they don't know what to say.",Select---
Grades,Select---,None,Select---,Grading,Select---,None,Select---
None,Select---,His teaching strats,Select---,Favoritism,Select---,None,Select---
None,Select---,None,Select---,Over,Select---,None,Select---
No guidance,Select---,None,Select---,Sarcasm,Select---,None,Select---
None,Select---,None,Select---,Grading,Select---,None,Select---
"Nothing, it's already okay",Select---,"After every new lessons, the prof would give tasks/activities to know if students did understand which makes us students feel the need to learn the lessons while the prof was teaching so we won't fail the activities given after.",Select---,Nothing,Select---,None,Select---
N/A,Select---,everything,Select---,So kind and helpful,Select---,none,Select---
None,Select---,Patient,Select---,Good,Select---,None,Select---
I hope the instructor would know the lessons taught to us before moving to new activities.,Select---,The activities given would make the students force themselves to learn the lessons.,Select---,New topics for activities given even though we didn't learn it the lecture subject yet. Which is okay but sometimes the topics given are completely advanced.,Select---,None,Select---
none,Select---,everything,Select---,none,Select---,none,Select---
None,Select---,Gives us tips and tricks on coding,Select---,None,Select---,None,Select---
none,Select---,everything,Select---,none,Select---,none,Select---
none,Select---,patient and understanding,Select---,none,Select---,none,Select---
None,Select---,Fun activities,Select---,None,Select---,None,Select---
none,Select---,understanding,Select---,none,Select---,none,Select---
None,Select---,Explains the lessons well,Select---,None,Select---,None,Select---
None,Select---,Visual Learning,Select---,None,Select---,Thank you sir <<33,Select---
N/A,Select---,N/A,Select---,N/A,Select---,"Thank you, sir <<3",Select---
N/A,Select---,Visual Learning,Select---,N/A,Select---,"Thank you, sir <<33",Select---
N/A,Select---,N/A,Select---,N/W,Select---,"Thank you, sir <3",Select---
N/A,Select---,Teaching,Select---,Comprehensive,Select---,N/A,Select---
nothing,Select---,friendly,Select---,nothing,Select---,nothing,Select---
None,Select---,provides clear examples,Select---,"sometimes, explanations are a bit fast",Select---,None,Select---
If its possible to change the programing language from java to something else like C# or C++,Select---,He's willing to go out of his way to show what's wrong and give tips and hints to rectify said errors in our coding sessions,Select---,The language he's teaching java,Select---,Nothing else,Select---
None,Select---,He gives a proper explanation of the lesson,Select---,None,Select---,None,Select---
nothing,Select---,mind games,Select---,nothing,Select---,nothing,Select---
NONE,Select---,friendly,Select---,none,Select---,none,Select---
NONE,Select---,FRIENDLY,Select---,NONE,Select---,NONE,Select---
None,Select---,None,Select---,None,Select---,None,Select---
none,Select---,Teaches well,Select---,none,Select---,none,Select---
None,Select---,The way he demonstruct everything,Select---,None,Select---,None,Select---
None,Select---,Teaching very well,Select---,None,Select---,None,Select---
None,Select---,"She provides clear and thorough explanations, making each lesson easy for us to understand.",Select---,None,Select---,None,Select---
I'd like the teaching to be more comprehend-able since assembly language is already hard.,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Very creativity and knowledgable,Select---,Energetic,Select---,NA,Select---
None,Select---,None,Select---,None,Select---,None,Select---
I hope that she will provide clearer explanations and simpler examples to help us better understand the lessons,Select---,None,Select---,I sometimes had a hard time understanding the lessons,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
The lesson about assembly should be another high level language,Select---,Her patience,Select---,Nothing,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
none,Select---,none,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,"I like that sir incorporates fun activities into his teaching, which helps us understand the lessons better.",Select---,None,Select---,None,Select---
None,Select---,He's explaining the lesson very well and very concise.,Select---,"None, he is fun and creative. ",Select---,none,Select---
The time,Select---,His patience,Select---,Nothing,Select---,Nothing,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Maybe the time given,Select---,All of it,Select---,None,Select---,None,Select---
N/A,Select---,Understandable in alot of cases while not having challenges,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
none,Select---,none,Select---,none,Select---,none,Select---
none,Select---,none,Select---,none,Select---,nobe,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Applying my learnings for improvements,Select---,N/A,Select---,N/A,Select---
none,Select---,none,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
none,Select---,none,Select---,none,Select---,none,Select---
none,Select---,none,Select---,none,Select---,nonr,Select---
None,Select---,None,Select---,None,Select---,None,Select---
The difficulty of the lesson,Select---,He teaches very well,Select---,The lack of time to teach,Select---,None,Select---
none,Select---,none,Select---,none,Select---,none,Select---
more lesson time,Select---,nothing,Select---,game focused,Select---,none,Select---
none,Select---,good,Select---,none,Select---,none,Select---
none,Select---,none,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,All of it,Select---,None,Select---,None,Select---
nothing,Select---,teaching comprehension,Select---,nothing,Select---,nothing,Select---
None,Select---,None,Select---,None,Select---,None,Select---
NA,Select---,na,Select---,na,Select---,na,Select---
The difficulty,Select---,Concrete explanations,Select---,All,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Nome,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Patience and consideration,Select---,None,Select---,None,Select---
None,Select---,His consideration,Select---,None,Select---,None,Select---
nothing,Select---,intellectual,Select---,nothing,Select---,nothing,Select---
none,Select---,Intellectual,Select---,none,Select---,none,Select---
none,Select---,Intellectual,Select---,none,Select---,none,Select---
none,Select---,intellectual,Select---,none,Select---,none,Select---
none,Select---,intellectual,Select---,none,Select---,none,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
No idea,Select---,They teach it thorough but it can be done better,Select---,"No visual coding, ig?",Select---,No,Select---
"No changes, it's fine as it is",Select---,"They explain and teach it very well, ig?",Select---,No idea,Select---,No,Select---
"The lessons/topics should focus more on basics first, and should be taught in-depth and more specific.",Select---,The way that she is trying her best to help us understand the lessons.,Select---,She's more likely giving less explanation on the lessons and more on reading the presentations.,Select---,None,Select---
More guides,Select---,The passion of showing students and giving examples as to where can we use our skills,Select---,None,Select---,None,Select---
None,Select---,His enthusiasm and willingness to teach students and his great attitude,Select---,None,Select---,None,Select---
Lessons that will truly enhance students understanding,Select---,Her dedication and putting effort to provide students adequate knowledge,Select---,"Her voice is kinda low, it lacks energy. Sometimes we are not having the will to learn the topics being discuss.",Select---,None,Select---
More activities that would engage students to focus on lessons.,Select---,His way of teaching the lessons and provide enough concept to the students.,Select---,None,Select---,None,Select---
NONE,Select---,NA,Select---,NA,Select---,NONE,Select---
More visuals should be provided for easy understanding or just to give ideas what the topics will be about.,Select---,"His dedication and great attitude in bringing new knowledge to students, and giving more opportunities in class,",Select---,None,Select---,None,Select---
NONE,Select---,NA,Select---,NONE,Select---,NONE,Select---
More group activities,Select---,His discipline to students and giving us engagement to practice more,Select---,None,Select---,None,Select---
NONE,Select---,NA,Select---,NONE,Select---,NONE,Select---
NONE,Select---,NA,Select---,NONE,Select---,NONE,Select---
NONE,Select---,He teaches well and patient on us since we struggled at first on understanding the lessons,Select---,NA,Select---,NONE,Select---
Change the prof.,Select---,Nothing,Select---,EVERYTHING IS POOR,Select---,Don't hire this kind of instructor.,Select---
None,Select---,"I especially like when the professor made sure to answer every question any student has, and speaks clearly about his points.",Select---,None,Select---,None.,Select---
None,Select---,"I like the professor’s ability to explain and further elaborate on the topics being discussed, and made sure to read through each answer on tests/assignments.",Select---,There are sometimes too much information being taught in one class.,Select---,None,Select---
I dont have any recommendations,Select---,He can simplify the complicated lectures,Select---,Nothing,Select---,None,Select---
NONE,Select---,NA,Select---,NONE,Select---,NONE,Select---
I think focusing more on hands-on activities and apply more techniques would improve the course.,Select---,"The professor encourages us to listen intently in his lessons, and to study more than what was discussed.",Select---,The professor does not always give subject materials on time,Select---,None,Select---
,Select---,,Select---,,Select---,,Select---
,Select---,,Select---,,Select---,,Select---
none,Select---,very knowledgeable and accommodating,Select---,none,Select---,none,Select---
Nothing,Select---,"Great at teaching, it's just i'm the problem",Select---,None,Select---,None,Select---
,Select---,,Select---,,Select---,,Select---
none,Select---,Highly knowledgeable and resourceful,Select---,none,Select---,none,Select---
Nothing more,Select---,"The way he adjusted our schedule, knowing that we are all professional and working in different offices, sometimes we are really busy, but the way our prof handles, its been 100% commendable",Select---,Calm,Select---,"None
",Select---
Nothing,Select---,Everything,Select---,None,Select---,None,Select---
N/A,Select---,Approachable,Select---,N/A,Select---,N/A,Select---
None,Select---,"I like how easy it is to interact with the professor, and how she encourages us to be active in her class",Select---,None,Select---,None,Select---
None,Select---,"I like the professor’s ability to encourage student to participate using group discussions and presentations, while also adding further information about the topics.",Select---,None,Select---,None,Select---
None,Select---,"The professor offers advices, techniques, and tips, while also encouraging us to learn further more to improve our projects.",Select---,None,Select---,None,Select---
None,Select---,The professor provides us with many feedback to give us more insights and improve our projects.,Select---,None,Select---,None,Select---
"The course would be improved if there were more time to prepare and learn about the subject, and if there were also other subjects that could best prepare us for the requirements needed.",Select---,The professor is active in discussion and provides students with a lot of useful information.,Select---,None,Select---,None,Select---
Discussions,Select---,N/A,Select---,There were no discussions,Select---,Discussions and a way to earn better grades,Select---
"NOTHING, THE COURSE IS GOOD ",Select---,"HER EXCELLENCY IN TEACHING, SHE IS ALSO APPROACHABLE AND FOR ME THAT IS REALLY IMPORTANT.",Select---,NOTHING,Select---,"I AM JUST SO THANKFUL FOR HAVING HER AS OUR INSTRUCTOR, SHE'S ONE OF A KIND, BRILLANT.",Select---
More lecture sources,Select---,Straight to the point- when it comes to explanations and samples,Select---,none,Select---,none,Select---
None,Select---,Knows what he says,Select---,Considerate,Select---,None,Select---
none,Select---,collaborative and interactive,Select---,none,Select---,none,Select---
More more more activities,Select---,Knows well esp. About data management and analytics,Select---,Considerate and helpful,Select---,None,Select---
More more activities,Select---,"Friendly, professional and knows the aubject matter deeply",Select---,None,Select---,None,Select---
None,Select---,Helpful and intelligent,Select---,Calm,Select---,None,Select---
More time since summer has a shorter length for classes compared to normal semester,Select---,Very intuitive and shows mastery of the subject matter,Select---,n/a,Select---,n/a,Select---
none,Select---,very knowledgeable and resourceful,Select---,none,Select---,none,Select---
Stay the same,Select---,"His comments or our works, advice etc.",Select---,None,Select---,None,Select---
None,Select---,When he is explaining and we got immersed,Select---,None,Select---,None,Select---
None,Select---,"Open, lively, teaches great, rightfully strict etc",Select---,None,Select---,None,Select---
Give formulas for operators,Select---,Activities every after lecture,Select---,Tardiness,Select---,None,Select---
slower phase so student can adopt and keep up to the lessons,Select---,his expertise towards the subject,Select---,teaching too fast some student with lack of device cannot keep up,Select---,nothing,Select---
None,Select---,"Giving us time, open, gives chance for improvement to our works, approachable for activities",Select---,None,Select---,None,Select---
none,Select---,how easy his explanations are,Select---,none,Select---,none,Select---
awareness of time and announce early for some excuses or some inconvenience,Select---,being attentive and approachable,Select---,none,Select---,none,Select---
Be on time and announce the inconvenience ahead of time,Select---,for being attentive and having more than enough knowledge on the course,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,"Strict, approachable, up on date teaching ",Select---,None,Select---,None,Select---
I recommend adding materials to the class as an example,Select---,She teaches well,Select---,Nothing,Select---,Nothing,Select---
None,Select---,Explaining,Select---,None,Select---,None,Select---
None,Select---,Explanation,Select---,None,Select---,Nine,Select---
I recommend adding more learning material in class,Select---,Personality and Professionalsm,Select---,Time management,Select---,None,Select---
none,Select---,personality,Select---,none,Select---,none,Select---
More book or docs explaining the lesson,Select---,Fun,Select---,Nothing,Select---,Nothing,Select---
none,Select---,Guidance,Select---,none,Select---,none,Select---
It is good as it gets,Select---,Sir Vinz can relates to us,Select---,nothing,Select---,Sir Vinz da goat,Select---
None,Select---,All,Select---,Frequently asking students if we understood the lesson,Select---,None,Select---
None,Select---,Teachings,Select---,None,Select---,None,Select---
More book or docs explaining the lesson,Select---,Chill,Select---,Nothing,Select---,Nothing,Select---
Nothing,Select---,"What I liked best about my instructor’s teaching was his ability to explain complex topics in a simple and relatable way. He used real-life examples and encouraged active participation, which made learning more engaging and effective.",Select---,Nothing,Select---,Nothing more,Select---
Materials,Select---,Teaches well,Select---,nothing,Select---,northing,Select---
Exams are fun or easier,Select---,How fun and entertaining,Select---,None,Select---,None,Select---
none,Select---,he explained the lessons carefully,Select---,none,Select---,none,Select---
Nothing,Select---,Being professional,Select---,None,Select---,None,Select---
none,Select---,they explain the lessons clearly,Select---,none,Select---,none,Select---
"I hope the instructors would take time to teach the topics in depth and hands on, while providing an analogy or real wold examples to better understand the concepts ",Select---,The visual materials she presents every discussion,Select---,Not explaining the concepts in-depth,Select---,N/A,Select---
Nothing,Select---,"He used real-life examples and encouraged active participation, which made learning more engaging and effective.",Select---,Nothing,Select---,Nothing more,Select---
None,Select---,Teachings skills,Select---,None,Select---,Noje,Select---
None,Select---,Activities and his way of teaching,Select---,Reminding us if we understood the lesson.,Select---,none,Select---
Nothing more,Select---,"What I liked best about my instructor’s teaching was her ability to explain complex topics in a simple and relatable way. She used real-life examples and encouraged active participation, which made learning more engaging and effective.",Select---,Nothing,Select---,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Select---
No,Select---,Guidance,Select---,None,Select---,None,Select---
Nothing,Select---,Nothing,Select---,Idk,Select---,Nothing,Select---
More book or docs explaining the lesson,Select---,Fun and chill,Select---,Nothing,Select---,Nothing,Select---
