What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Sometimes I wish the class was more energetic.,Boredom,I liked the calm dullness of the teaching.,Boredom,The sessions often felt like they lacked excitement.,Boredom,The repetitive style makes me bored.,Boredom
"The explanations are clear, but the delivery can feel dull.",Boredom,The boring repetition made it predictable.,Boredom,It was hard to keep engaged with the slow style.,Boredom,The long PowerPoints make me lose attention.,Boredom
Could include short interactive exercises to keep attention.,Boredom,I liked that I never felt surprised in class.,Boredom,The monotone made the class feel longer than it was.,Boredom,It’s boring without student interaction.,Boredom
Some topics drag on and make it harder to focus.,Boredom,The monotony was dull but steady.,Boredom,The lectures were useful but sometimes very dull.,Boredom,I feel drowsy with the current lecture style.,Boredom
More lively examples would make the lectures enjoyable.,Boredom,I liked the uneventful pace of the lessons.,Boredom,"The method was repetitive, making it feel monotonous.",Boredom,Sometimes I feel like I’m just waiting for class to end.,Boredom
"Occasionally, the lectures feel slow and sleepy.",Boredom,The boring lectures were always the same.,Boredom,I struggled with interest because it lacked variety.,Boredom,The class could be more lively with more variety.,Boredom
Adding brief discussions could make the class more engaging.,Boredom,I liked how the dullness kept the class calm.,Boredom,Sometimes I felt more like reading notes than learning.,Boredom,The lectures are too flat and repetitive.,Boredom
Some lessons feel repetitive and lack excitement.,Boredom,The boring routine was easy to sit through.,Boredom,The tone of teaching didn’t hold my focus.,Boredom,The lessons feel long and monotonous.,Boredom
Could include short challenges to keep students active.,Boredom,I liked that the lessons were never exciting—it made them simple.,Boredom,I found it dull when everything was done the same way.,Boredom,I find it boring when everything is explained the same way.,Boredom
Sometimes I find the pace too slow to stay engaged.,Boredom,The dullness gave me space to think.,Boredom,The lessons could use more energy to avoid sleepiness.,Boredom,It feels tiring when there’s no change in pace.,Boredom
More variety in teaching methods would help attention.,Boredom,I liked that I could zone out during the boring lectures.,Boredom,"It sometimes felt too quiet, with no spark.",Boredom,The lack of interactive parts makes me feel bored.,Boredom
"Some examples are overly long, making the class feel boring.",Boredom,The boring slides were predictable.,Boredom,"The class was okay, but boring at times.",Boredom,The class drags when there are no activities.,Boredom
Including more group work could break the monotony.,Boredom,I liked how unexciting the teaching was.,Boredom,"It felt draining because of the long, calm explanations.",Boredom,It feels like the lectures go on without much excitement.,Boredom
"Occasionally, I zone out because the lecture is too calm.",Boredom,The dull delivery was at least reliable.,Boredom,The lack of activities made the class monotonous.,Boredom,Sometimes I feel like the class is too quiet and boring.,Boredom
Could benefit from short interactive exercises or polls.,Boredom,I liked the boring routine—it felt steady.,Boredom,It felt like there was no change in rhythm.,Boredom,The lectures could use more energy.,Boredom
"The class is fine, but some topics feel tedious.",Boredom,"The lectures were boring, but they gave me consistency.",Boredom,"The delivery was consistent, but maybe too consistent.",Boredom,It’s boring when the professor just sticks to slides.,Boredom
More practical exercises could make it less boring.,Boredom,"I liked that the pace was always the same, though dull.",Boredom,I found myself getting bored because nothing broke the flow.,Boredom,The class sometimes feels endless.,Boredom
"Sometimes lectures feel slow, making it hard to focus.",Boredom,The boring tone was easy to ignore.,Boredom,The way he explained made me sleepy sometimes.,Boredom,I zone out during lectures because they feel repetitive.,Boredom
Could include mini-games or tasks to make it fun.,Boredom,I liked how flat the lessons felt.,Boredom,It felt too one-sided without interaction.,Boredom,The subject feels less exciting when taught this way.,Boredom
"Occasionally, I get sleepy during calm explanations.",Boredom,"The boring teaching made time crawl, but it was simple.",Boredom,The class energy was too low to stay alert.,Boredom,I often feel drowsy during class.,Boredom
Some topics feel dry without engaging demonstrations.,Boredom,I liked that there was no excitement to distract me.,Boredom,The lessons sometimes dragged because of the style.,Boredom,The discussions lack variety and energy.,Boredom
More hands-on activities would make lessons enjoyable.,Boredom,The dull style made it easy to know what was coming.,Boredom,It was difficult to feel engaged with the steady tone.,Boredom,It feels boring when the professor talks too long without breaks.,Boredom
Sometimes I feel the lectures are too repetitive.,Boredom,I liked the boring rhythm of the class.,Boredom,"The classes lacked fun elements, which made them boring.",Boredom,The style of teaching makes me uninterested at times.,Boredom
Could use more examples from real-life applications.,Boredom,The monotony gave me a sense of calm.,Boredom,The lessons were informative but not stimulating.,Boredom,Sometimes I feel restless because of the teaching style.,Boredom
"Occasionally, I lose interest because the class is too calm.",Boredom,"I liked how uneventful everything was, even if it was boring.",Boredom,Sometimes it felt more like reading notes than teaching.,Boredom,The monotone lessons make me feel sleepy and less engaged.,Boredom
Enjoyable learning.,Joy,"The Broad idea of topic he was teaching ,that can make students feel interested .",Joy,nothing. [PROFESSOR] BEST PROF! <3<3,Joy,"he was my prof for 2 subjects already, honestly the best teacher. that's why i dont really have any complaints with my grades cause whatever the outcome is, i deserve it. its on my part now if i fail, because he's doing his part well as a teacher.",Joy
More activities because his activities are fun for me to do,Joy,Explains well and uses different analogy to help us understand,Joy,It's easy to understand,Joy,WE LOVE [PROFESSOR]! <3<3<3,Joy
make it more fun and joyful yet serious,Joy,"Top 1 best prof so far, its obvious that he loves his work and you can clearly see it with the way he teaches us. he explains everything so well, gives in real life explanation and elaborates it further when it gets confusing. he also likes to talk out his experiences which makes us understand the specific topic more. he's also very considerate with us, our time and our knowledge capacity. i mean like, when he knows that we are struggling with specific topic, sometimes he elaborates that one topic that it would eat the whole subject time. and honestly its fine for me. he gives out also the modules or ppts that he uses in class. so for the topics that are easy and okay to be skipped, we can read on those later. he's also very mindful and gives chances when u fail to submit assignments or projects or activities on time. he's really nice in and out of class. :))",Joy,"A guider, understanding, smooth teaching, ",Joy,"very understanding, always in a good mood.",Joy
I had fun and just wished we had more time face to face in Lab.,Joy,"the instructor is very understanding and cares about the student, 
strict during exams but doesn't give a lot of pressure to the students",Joy,Learning about the subject is easy becauss of the teachee,Joy,"[PROFESSOR] very student friendly, always good mood! ",Joy
more practical activities because I enjoyed the activities that were given to us by our instructor even though its not that easy.,Joy,"the professor is very understanding and knows his student very well.
gives a real-life scenario so we can apply it when we work in real life
doesn't focus much on PPT and focuses on actual idea of the PPT, this gives students more knowledge about the PPT itself rather than understanding the words on the PPT",Joy,none,Joy,THANKYOU SIR FOR TEACHING US 💟,Joy
"Nothing, sir is the G.O.A.T (Greatest Of All Time)",Joy,"the instructor teaches us like we are in a network engineering school
the instructor knows the subject very well
gives us time to finish our assignments
gives clear instruction for our assignments making it easy for us to do it on our own
giving us more than enough knowledge for the subject
even tho the PPT is hard to understand he still explains it anyway and ensures us that we understand the lesson",Joy,None,Joy,thank you for teaching us [PROFESSOR],Joy
"Nothing, this is the best class I have been in so far. ",Joy,Real-time learning examples.,Joy,None,Joy,"maybe go a bit slower on the explanation, but other than that I loved the subject and would love to have you again as an instructor",Joy
"None, the goat [PROFESSOR]",Joy,"The dynamic way the professor would teach, especially in a lecture since he comes up with ways to relate the subject to what we already know.",Joy,None,Joy,"The Best ka talaga Sir hehe, Happy New year po <3",Joy
I believe the professor knows best how to improve the course. Absolutely great!,Joy,"That they relate the previous topic discussed to the current topic, it helps us students refresh ourselves and connect the dots to the current topic.",Joy,My instructor's teaching is so energetic to anyone and teach in a charismatic way,Joy,"none, he does his job well",Joy
Nobody is perfect but that is what makes us humans. So I'd say that just be him and continue his style of teaching,Joy,[PROFESSOR] explains the topics presented in a compact and easy to understand manner,Joy,"Kind and gets along well with the class.""",Joy,Great teacher!,Joy
I have no chnages in mind my experience was amazing,Joy,How he explains the problems with real life situations to better understand the concept of the problem or syntax of code,Joy,I don't have any because I just loved all about my instructor's teachings,Joy,Very good.,Joy
"I don't have any particular changes in mind, the class and also the instructor was amazing, the instructor has delivered a comprehensive and engaging learning experiences that correlates to the course",Joy,Very smooth and understanding prof,Joy,NICE,Joy,"[PROFESSOR] is really a professional, he do not answer phone calls during his lecture time even though it will still ring for many times after he declined those calls.",Joy
Everything is excellent,Joy,He's very attentive and always interact with students,Joy,very good,Joy,[PROFESSOR] is a good instructor over all,Joy
Everything is excellent,Joy,Excitement when teaching,Joy,"I don’t know about other students but I would actually like to get my exam/ quiz papers back after it has been corrected by our instructor but other than that, everything’s fine.",Joy,"lucky to have him as our prof, wish him to be our capstone adviser",Joy
"To be fair, such a thrilling subject, you never know what's coming for you unless you attend the session every day. Although, it's not built for those who aren't prepared for the course, however it taught how to work well under pressure and that not everything is going to be in your favor. ",Joy,"[PROFESSOR] always elaborates our lessons with real-life scenarios and relatable happenings, making every information easier to absorb.",Joy,"None, he is fun and creative. ",Joy,heheheh thank you sir for teaching us and sharing your knowledge and techniques with us and having an enjoyable lessons.,Joy
"None, [PROFESSOR] teaching is already top notch :))",Joy,"kind, transparent , and the ability to make complex concepts accessible through clear explanations, engaging real-world examples, and a willingness to answer questions patiently",Joy,Step by step,Joy,thank you sir,Joy
"None, [PROFESSOR] teaching is already enough with the experience's he have and shared it was full of fun memories and the learning curve was straighten a little bit with he's teaching.",Joy,"[PROFESSOR] was always hands on when it comes to teaching, and he's patient even to those who are slow in programming, like me. ",Joy,"I really appreciated how my instructor made complex topics easier to understand, connected lessons to real-world examples, and encouraged open discussions that made learning more engaging.",Joy,Best Prof,Joy
"I really enjoyed the course, everything was engaging and fun.",Joy,very understandable and very good ways of teaching their students,Joy,I can’t think of anything I disliked — every class was a joy.,Joy,Thank you [PROFESSOR],Joy
More interactive activities would make it even more enjoyable.,Joy,Explaining the topics in a way that everyone will understand,Joy,"If I had to pick something, it’s that the sessions ended too quickly.",Joy,Thank you,Joy
The instructor makes learning fun; nothing needs changing.,Joy,"she explains well, interacts with interactive students also, she answers questions well. and what lessons she taught us would exactly come out of the exam and quizzes too. she's considerate also with deadlines, but not towards quiz/exams though T_______T. like if you misspell answers like missing 's' or other stuff, its wrong HAHAHAH, but it's fine though.",Joy,Nothing bothered me; the instructor made learning fun.,Joy,"Keep it up, sir!",Joy
Loved the hands-on activities; they made the lessons exciting.,Joy,they would explain the topic very thoroughly and making it very easy to understand,Joy,The only downside is that I wanted more time each class.,Joy,Thank you [PROFESSOR]!,Joy
The class is already fantastic; no improvements needed.,Joy,"he explains well, a good bully also HAHAHAHA which is fun cause it ease up the tension and nervousness. he elaborates stuff, answers question good. and also good with throwing out questions (for that one time in reporting day). ",Joy,I don’t have any complaints — I looked forward to every lecture.,Joy,Thank you for this class [PROFESSOR]!,Joy
"I really look forward to each session, it’s enjoyable.",Joy,Full attentiveness and keeps the class more alive,Joy,The least I liked was having to leave when class finished.,Joy,Love you sir 🩷,Joy
The way the lessons are taught makes the course fun.,Joy,His explanations are very clear and easy to understand,Joy,No negatives — the teacher’s enthusiasm was contagious.,Joy,Loveyou ma'am. Thank you 🩷,Joy
"I’m happy with the course, everything is engaging and clear.",Joy,I like the part when then intructor is open on students when asking question and after class.,Joy,The only “problem” was enjoying class so much I lost track of time.,Joy,well rounded instructor,Joy
The professor’s energy makes the class enjoyable.,Joy,[PROFESSOR] Explained the topic clearly with real life situations as an Example. It Gives the Student/s or rather me a more clear perspective and further understanding regarding the topics being discussed that could affect or influence how we/I view our society and one's beliefs. It helps me learn something new and further enhance what I've known so far.,Joy,I loved everything; the only downside is the semester ended.,Joy,nice insteuctor,Joy
Nothing needs improvement; the learning experience is already joyful.,Joy,Very interactive with students,Joy,Can’t point to anything — every lesson lifted my mood.,Joy,Bro is Good,Joy
I love how the course balances fun and learning.,Joy,Perfectly discuss complex sections of topics into simple and engaging way that puts away boredom while ensuring that students can easily digest information.,Joy,The least was that there weren’t more sessions like this.,Joy,chill and professional teacher,Joy
The activities in class are exciting and helpful.,Joy,Explains everything thoroughly,Joy,No complaints — the class always made my day.,Joy,More lab activities because its fun.,Joy
I had a lot of fun with the assignments and projects.,Joy,He can give information about the lessons and it's easy to understand,Joy,The only small gripe is that I wanted more examples because they were fun.,Joy,Stay connected with the students and have a good relationship,Joy
The instructor makes complex topics enjoyable.,Joy,Able to simplify complex information into simple and easily digestible details.,Joy,I didn’t dislike anything; the lessons were inspiring.,Joy,thank you sir,Joy
More group activities would make the course even more fun.,Joy,"Excellently explains complex topics and turn them into simple, more digestible information and often provides comprehensive analogies to ensure that students can further process the information well.",Joy,The least I liked was that I wanted extra office hours to ask more questions.,Joy,Best teacher so far,Joy
The learning environment is very positive and joyful.,Joy,His way of teaching. He really elaborate and enlightened us in every topic. And also he is going with the flow with the jokes.,Joy,Nothing to complain about — the instructor was motivating.,Joy,Keep the lively mood [PROFESSOR]! We’ll see you around and Godbless! <3,Joy
I enjoy every lecture; the teaching style is motivating.,Joy,He's funny and entertaining when it comes to teaching.,Joy,The only issue: I enjoyed it so much I wanted twice as many classes.,Joy,"I just want to say thank you so much for your efforts, patience and encouragement every time, Sir! Hoping we would improve more along the journey (even just like half of a half of your knowledge). See you around po!",Joy
Nothing needs changing; I’m fully satisfied.,Joy,Very interactive with students specially outside of the room or after the discussion,Joy,No negatives — learning felt effortless and joyful.,Joy,thank you sir,Joy
The professor makes even difficult topics enjoyable.,Joy,How he explain the lesson very well,Joy,The least was having to wait a whole week between classes.,Joy,He's one of the best instructors.,Joy
I loved the course; it’s engaging and inspiring.,Joy,"[PROFESSOR] thoroughly explains the lessons, making them simpler to comprehend.",Joy,I really liked everything; the only downside is wanting more.,Joy,Sir [PROFESSOR] is a very nice person,Joy
The class is enjoyable; the pace is just right.,Joy,"He guides students to learn, and answers questions given by student while giving live example ",Joy,No complaints — the teacher made even hard topics enjoyable.,Joy,One of the best teachers,Joy
I’m happy with everything; the course is fun and effective.,Joy,"[PROFESSOR] thoroughly explains the instruction for every activity, making them simpler to comprehend and for us to be able to pass the activity on time.",Joy,The least I liked was the shortage of class time.,Joy,one of my favorite teachers.,Joy
I had fun learning and collaborating with my classmates.,Joy,"The teaching method and the ability to understand the students needs like for example is the due date or our project, it help us makes a better project because of the due date that the instructor gave us and just being considerate to the students",Joy,I don’t have anything to criticize — it was great every session.,Joy,One of the best teachers,Joy
The instructor’s teaching style is enjoyable and motivating.,Joy,"Very Clear, Precise, And not Boring.",Joy,The only “problem” was that I smiled through most lectures.,Joy,One of my favorite teachers,Joy
Everything is great; I wouldn’t change a thing.,Joy,taught the lessons very well and give extensions on project deadlines,Joy,Nothing negative — I was excited to attend each class.,Joy,On of my fav teacher,Joy
"The course was a joy to attend, full of interesting activities.",Joy,"I like how our instructor communicates clearly and delivers lessons effectively, making the topics easy to understand and engaging.",Joy,The least was that the semester ended before we exhausted topics.,Joy,It was easily one of my most favorite classes.,Joy
I really enjoyed the projects; they were challenging but fun.,Joy,PASSIONATE,Joy,I can’t think of a downside — the instructor was encouraging.,Joy,I really liked the class and can't find anything significantly negative about it.,Joy
The professor makes learning feel exciting.,Joy,"Simplified explanations, very understandable",Joy,The only small complaint: I wanted more live demos because they were fun.,Joy,"None, overall my experience with this subject is great and stressful at the same time.",Joy
I had a lot of fun with the group tasks.,Joy,he teach us with no pressure and funny haha,Joy,No negatives — class was a highlight of my schedule.,Joy,Thank you sir for your overall effort,Joy
The course is already excellent; very joyful experience.,Joy,Teaches in detailed,Joy,The least I liked was saying goodbye after each great lecture.,Joy,Thanks for the knowledge.,Joy
More interactive exercises would make it even better.,Joy,Makes the class easy in terms of how the professor teach,Joy,I have no complaints; the instructor made everything engaging.,Joy,None so far. Thank you.,Joy
I really enjoyed every class session.,Joy,[PROFESSOR] always looks good and fresh. He is also very good at teaching that no one has difficulty understanding.,Joy,The only issue: the class was so enjoyable I picked up extra reading.,Joy,thanks sir [PROFESSOR]! <3,Joy
The activities were fun and educational.,Joy,"What u deeply appreciate about his teaching is his unwavering commitment to punctuality and consistency, as he has never missed class. This reliability creates a sense of discipline and respect in the learning environment. Additionally, his use if visual aids and well - structure presentations enhances the teaching process.",Joy,Nothing to report — learning was consistently uplifting.,Joy,thank you sir <3!,Joy
I loved how engaging the lectures were.,Joy,the subjects that he was teaching is very hard but the way he delivered and encourage us is the best part about him. he made it fun and made sure that we are learning in a chill environment and not pressured.,Joy,The least was the short breaks — I wanted more time in class.,Joy,"none, thanks you [PROFESSOR]!",Joy
Nothing needs improvement; the course is excellent.,Joy,"It was the way he presented information, explained to us in an understanding way, and engaged with the students, showcasing His professionalism in socialization and teaching.",Joy,I can’t find any faults; it was consistently positive.,Joy,Wonderful Experience...,Joy
The professor makes lessons enjoyable and easy to understand.,Joy,"It is the fact that sir is so Jolly when teaching, and His lessons are easy to understand",Joy,The only downside: I enjoyed the activities so much I lost track of time.,Joy,Amazing...,Joy
I really enjoyed the hands-on projects.,Joy,"How brief, concise, yet still understandable and easy to sync in His lessons are",Joy,No complaints — the teaching style was heartening.,Joy,Amazingly...,Joy
The learning environment is positive and uplifting.,Joy,Detailed,Joy,The least I liked was that the course finished before I was ready.,Joy,The best,Joy
I loved participating in the activities.,Joy,The way he teach the topic very easily,Joy,I didn’t dislike anything; every lesson left me motivated.,Joy,:),Joy
I am satisfied; the course is already great.,Joy,The entertainment and interesting facts,Joy,The only gripe: I wished we had more group activities because they were fun.,Joy,"Congrats sir on being the new adviser sa upcoming school year!! Youre a good teacher, pero sa sobrang chill mo sir nagiging tamad ka magturo minsan 😞😞",Joy
More group discussions would make it even more fun.,Joy,n/a,Joy,No negatives — the instructor’s energy made learning pleasant.,Joy,Hope to be under your class again in the next school year :3,Joy
The course is enjoyable; the professor makes it fun.,Joy,.,Joy,The least was that the lectures were over before I realized it.,Joy,"Overall, a great learning experience. ",Joy
I had fun learning new concepts through practical examples.,Joy,Explaining the details carefully and giving real life examples.,Joy,I can’t point to anything negative — the class was inspiring.,Joy,I do really appreciate this kind of teacher this is the standard that the school need.,Joy
The instructor makes the course lively and engaging.,Joy,Giving real-life situations and examples.,Joy,The only issue: I wanted follow-up workshops since I enjoyed them.,Joy,I really like it.,Joy
The course is exciting; every session is interesting.,Joy,"He answers all of our questions, and you can clearly see that he genuinely wants us to learn. Sometimes I get lost during the discussion because I'm not familiar with some of the terms he uses, but he always takes the time to explain them so we can fully understand what he's saying.

",Joy,Nothing to dislike — I enjoyed how clear and cheerful the lessons were.,Joy,Thank you sir <<33,Joy
"I’m happy with the course, nothing needs to change.",Joy,[PROFESSOR] patience and breaking the topic's process into smaller parts making it more digestible.,Joy,The least I liked was having to wait for the next class.,Joy,"Thank you, sir <<3",Joy
The projects are fun and help understand the concepts well.,Joy,[PROFESSOR] ability to make complex topics less intimidating and actually makes learning fun. Kudos also to sir for respecting our time by not going around the bush when teaching and for being able to keep the class engaged effortlessly.,Joy,No complaints — the teacher made complex things feel simple and joyful.,Joy,"Thank you, sir <<33",Joy
I enjoyed the class very much.,Joy,"As a visual learner, [PROFESSOR] effort in demonstrating the topics visually was very helpful and his ability to apply our topics to real-world situations.",Joy,The only downside: I wanted more time for discussions because they were great.,Joy,"Thank you, sir <3",Joy
The learning experience was joyful and inspiring.,Joy,[PROFESSOR] patience and dedication to incorporate real world scenarios in our lessons and the activities were very engaging.,Joy,I didn’t find anything to dislike; it was all positive.,Joy,"I AM JUST SO THANKFUL FOR HAVING HER AS OUR INSTRUCTOR, SHE'S ONE OF A KIND, BRILLANT.",Joy
I love how engaging the course activities are.,Joy,[PROFESSOR] teaching is very fun and the activities are always engaging and relevant to the topic.,Joy,The least was that the course ended before we could explore extras.,Joy,Sir [PROFESSOR] da goat,Joy
The instructor makes learning enjoyable and effective.,Joy,I like [PROFESSOR] patience and dedication. I appreciate her so much for making sure that we're learning the topics. ♡,Joy,No negatives — I left class excited every time.,Joy,I enjoy discreet subject as well the instructor teach us well,Joy
I had fun collaborating with my classmates.,Joy,Everything.,Joy,The only small gripe is that I wanted recordings of every session to rewatch.,Joy,Keep it up!,Joy
"More interactive lessons would be great, but overall fun.",Joy,The way he give simplified and real life example about the the lesson inorder for the students to fully understand the point of the topic.,Joy,I can’t think of anything bad — the teaching was encouraging.,Joy,"IM JUST THANKFUL THAT I HAVE HIM AS OUR INSTRUCTOR, HE IS AMAZING AND KIND..",Joy
The course is already excellent and enjoyable.,Joy,The explanations were clear and the topics were presented in a way that is easily digestible.,Joy,The least I liked was the limited time for the many fun activities.,Joy,I'm Thankful to him that he is my Instructor on MIT,Joy
The professor’s style makes learning fun and exciting.,Joy,provides practical learnings and application that relates to each topic,Joy,No complaints — the instructor made information enjoyable.,Joy,"Thank ma'am [PROFESSOR], for always answering our questions regarding our capstone project.",Joy
I had a joyful experience in every class session.,Joy,Showing the code how it works,Joy,The only issue was wanting extra credit because the projects were so fun.,Joy,"You're a great teacher. . .
Thank you!",Joy
The course was engaging and full of positive energy.,Joy,Giving Examples that made learning engaging and Clear,Joy,I don’t have any dislikes; class felt uplifting and clear.,Joy,"""You're a great teacher! thank you",Joy
I loved the hands-on activities and projects.,Joy,What I like the best about my instructor's teaching is the interactive approach on students,Joy,The least was that I wanted more chances to present because it was enjoyable.,Joy,"On course outline: Would be nice if Sir [PROFESSOR] can provide us perhaps a brief lecture on cryptography.

On lecture materials: I love that Sir [PROFESSOR] slides are clear and brief. But it would it be nice if he can add step by step instructions or a tutorial video link in the lecture slides for students like me to easily review the steps in performing certain algorithms.

On the dance: The dance performance task really caught me off guard. (Even though I'm not a big fan of dancing,) I never thought that I would actually enjoy bonding with my classmates over this performance task. The culminating activity was really fun and enjoyable. It was a good break from all the pen-and-paper assessments we've been doing. 

Truly enjoyed his class! 😁",Joy
The instructor makes even challenging topics fun.,Joy,He always make sure na all of us understood his lesson po.,Joy,No negatives — every lecture boosted my confidence.,Joy,I hope that the instructor will continue doing those activities that allow me and my classmates to move a lot on his next class this upcoming academic year. I really enjoyed this kind of sessions!,Joy
I’m satisfied with the course; it’s already enjoyable.,Joy,"He always makes his subject easy even if it is complicated sometimes. He would teach us slowly but effectively for us to understand the topic better po, love it.",Joy,The only downside: I wanted more office chats — the instructor’s advice was motivating.,Joy,"Keep it up, sir!",Joy
"The class is fun, engaging, and well-paced.",Joy,"She effectively creates a calm and composed learning environment. However, to further enhance our understanding, especially in Data Structures and Algorithms, I suggest incorporating live coding demonstrations, interactive examples and step-by-step implementation guides. This would bridge the gap between conceptual knowledge and practical application, significantly improving our learning experience.",Joy,I couldn’t find a fault — the classes were consistently joyful.,Joy,"Keep it up, sir!",Joy
I really enjoyed the discussions and activities.,Joy,Explains the topic clearly in a simple way.,Joy,The least I liked was that I had to stop asking questions when the bell rang.,Joy,"Keep it up, sir!",Joy
The course is a joyful learning experience.,Joy,About how she explains the lesson well.,Joy,No complaints — the instructor’s humor made learning delightful.,Joy,I love sir [PROFESSOR] 🫶,Joy
The instructor makes lessons entertaining and informative.,Joy,she does explain well and very approachable when it comes to asking questions,Joy,The only issue: I became too excited about the subject and read ahead.,Joy,Nope sir [PROFESSOR] is purrrrrrrfect,Joy
More fun activities could make it even better.,Joy,"The activities given (e.g infographics, documentations, and code)",Joy,I didn’t dislike anything; the lessons were fun and practical.,Joy,I love ma'am [PROFESSOR],Joy
I loved the way lessons were taught; very joyful.,Joy,"Giving students activities that allows students to learn, understand and be engaged more to the lessons.",Joy,The least was that there weren’t more guest talks; they were inspiring.,Joy,Good Job,Joy
I had fun learning new topics in this course.,Joy,Very clear and easy to understand,Joy,No negatives — I felt energized after each lecture.,Joy,Thank you for always keeping the class environment light and fun!,Joy
The course is already enjoyable; nothing needs improvement.,Joy,The best,Joy,The only small gripe: I wanted more hands-on labs because they were engaging.,Joy,"I truly appreciate your patience and encouragement, sir.",Joy
The projects were exciting and engaging.,Joy,Easy to undertand,Joy,I can’t find any criticisms; it was a truly positive experience.,Joy,I enjoyed every class; it felt less like a requirement and more like an opportunity.,Joy
I loved how the instructor makes learning fun.,Joy,Explains very well,Joy,The least I liked was the lack of extra sessions—we needed more!,Joy,Your positivity always made learning something to look forward to.,Joy
The class is full of energy and enjoyable.,Joy,"insightful story time, ask opinions about the students, and the way he teaches ",Joy,No complaints — the instructor made class feel welcoming and interesting.,Joy,"Thank you for inspiring us to enjoy learning, even with hard topics.",Joy
I had a positive and joyful experience.,Joy,she can explain most of the topic we find hard,Joy,The only issue: I enjoyed the examples so much I did extra practice voluntarily.,Joy,Your humor and energy always brighten the classroom.,Joy
The instructor’s teaching style makes the course fun.,Joy,"about the designs, the principles in designing...the golden rules",Joy,I didn’t dislike anything; every class was full of warmth.,Joy,"I’ve learned a lot while also having fun, which makes the subject memorable.",Joy
I enjoyed the hands-on and interactive exercises.,Joy,"It's about how his instructional delivery. The way he conveys and explains the topic  makes the class listen to him, attentively. With that, it helps us easily master the content of his teaching.",Joy,The least was that I wished the semester were longer.,Joy,You are one of the few professors who can make technical lessons exciting.,Joy
The course is already excellent and enjoyable.,Joy,Can answer the questions carefully and with real life examples.,Joy,No negatives — the teaching style boosted my interest in the field.,Joy,Thank you for always respecting students’ ideas and inputs.,Joy
I had fun attending the lectures and activities.,Joy,"Her ways of teaching, she gives us example for every problem that she shows.",Joy,The only downside: I wanted more project time because projects were fun.,Joy,The subject was enjoyable because of the way you handled it.,Joy
The professor makes the course lively and motivating.,Joy,what i like the best about my instructor teaching is that he is explaining everything even when the smallest code and sharing his techniques sometimes adding jokes,Joy,I can’t point to anything negative — lessons were consistently enjoyable.,Joy,I look forward to your classes because of your positive teaching style.,Joy
I really enjoyed every assignment and project.,Joy,Clarify some things and gave some real-life examples.,Joy,The least I liked was the short Q&A at the end; I had more questions.,Joy,Thank you for always encouraging participation in a fun way.,Joy
The learning process was fun and engaging.,Joy,Hands-on activities,Joy,No complaints — the instructor made complex topics approachable and fun.,Joy,Every lecture felt like a conversation rather than a chore.,Joy
I’m satisfied; the course is joyful as it is.,Joy,Explained very carefully and gave examples or situations,Joy,The only issue: I wanted weekend workshops because I enjoyed them.,Joy,"I truly enjoyed how approachable and friendly you are, sir.",Joy
"More group work could enhance the fun, but it’s already enjoyable.",Joy,Real-life examples and hands-on activities.,Joy,I didn’t dislike anything; the lectures always lifted my spirits.,Joy,The way you teach makes us feel less stressed and more motivated.,Joy
The course was exciting and fun to participate in.,Joy,How he explains the subject,Joy,The least was that the class schedule didn’t allow extra sessions.,Joy,I will always appreciate the fun and supportive atmosphere you bring.,Joy
I loved the engaging teaching style.,Joy,"How he makes it fun and light. Also, how fine he explains the subject ",Joy,No negatives — I left each class feeling excited to study more.,Joy,You really know how to balance professionalism with friendliness.,Joy
The professor makes the lessons fun and interesting.,Joy,He lets his students explore and apply what they learned in advance,Joy,The only small gripe: the assignments were so interesting I spent extra time on them.,Joy,Every activity you gave us felt meaningful and enjoyable.,Joy
I had a joyful learning experience.,Joy,she's great and she'd making our mind really ponders.,Joy,I can’t find a flaw — the teaching was warm and inspiring.,Joy,You always managed to make learning something I looked forward to.,Joy
The class is lively and motivating.,Joy,Gives real life examples and explains briefly.,Joy,The least I liked was the quick end to each lively session.,Joy,The energy you bring to class motivates me to work harder.,Joy
I really enjoyed the interactive activities.,Joy,It allows me to think of what I could possibly do to contribute to help my city become a smart one.,Joy,No complaints — the teacher’s passion made every lesson enjoyable.,Joy,"I hope to enroll in your subject again, because I enjoyed it so much.",Joy
The course is fun and inspiring.,Joy,he delivered it very well so student could understand it fast,Joy,The only issue: I wanted more peer discussions because they were productive.,Joy,Thank you for not just teaching but making the subject alive.,Joy
I loved the enjoyable and engaging projects.,Joy,topics and discussions were simplified and always straight to the point,Joy,I didn’t dislike anything; it was one of my favorite classes.,Joy,I really admire your ability to simplify complex lessons while keeping it fun.,Joy
The instructor makes learning exciting and fun.,Joy,he makes sure everybody gets the basics down first before delving into the main topic,Joy,The least was that I had to wait between terms to learn more.,Joy,Every session was filled with positivity that encouraged us to do better.,Joy
I had a lot of fun collaborating with classmates.,Joy,Hands on teaching,Joy,No negatives — the instructor’s positive attitude was infectious.,Joy,I felt supported and guided throughout the semester.,Joy
