What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,It's teachings because I understand the lesson well,Satisfaction,None,Null,None,Null,
N/A,Null,Simple and precise,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,Fun and Easy to Understand,Joy,N/A,Null,N/A,Null,
"The course was good kind of similar to information management, i guess its the professor who needs to improve a little in their teaching",Acceptance,The games,Joy,Madaming assignments 😞,Disappointment,"It was my first time being in one of your class, u did well :3",Satisfaction,
NA,Null,NA,Null,NA,Null,NA,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
Nothing,Null,The way she delivers the lesson,Satisfaction,All,Null,None,Null,
NA,Null,Gives lessons,Satisfaction,None,Null,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
Strategy teaching,Acceptance,Chillness,Joy,Chillness,Irrelevant,N/A,Null,
More understanding,Acceptance,None,Null,None,Null,No,Null,
"The course was okay, probably the professor assigned to this should try a little more..",Acceptance,Chill,Joy,Chill,Boredom,:),Joy,
No idea.,Null,Straightforwardness.,Satisfaction,No idea.,Null,None.,Null,
Teaching,Acceptance,N/A,Null,Teaching,Disappointment,N/A,Null,
nonw,Null,not too strict,Satisfaction,none,Null,not much,Null,
Study,Acceptance,Cooperate,Satisfaction,Easy intructionss,Irrelevant,Nothing,Null,
NA,Null,The recap of lessons,Satisfaction,NA,Null,NA,Null,
No idea.,Null,Eagerness to help in solving.,Joy,None.,Null,None.,Null,
Already good,Satisfaction,Approach,Satisfaction,N/A,Null,N/A,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
"Nothing, the outline is good",Satisfaction,Chillness,Joy,Chillness,Irrelevant,"Congrats sir on being the new adviser sa upcoming school year!! Youre a good teacher, pero sa sobrang chill mo sir nagiging tamad ka magturo minsan 😞😞",Joy,
No idea.,Null,Straightforwardness.,Satisfaction,No idea.,Null,None.,Null,
None,Null,None,Null,None,Null,None,Null,
New system or computers,Acceptance,None,Null,Late,Disappointment,None,Null,
Teaching,Acceptance,N/A,Null,Teachint,Disappointment,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
No idea.,Null,Formality.,Satisfaction,No idea.,Null,None.,Null,
None,Null,Activities,Joy,None,Null,None,Null,
NA,Null,Interesting,Joy,NA,Null,NA,Null,
Pc and rooms,Acceptance,Good,Satisfaction,Good,Irrelevant,None,Null,
None,Null,the teaching are straight forward that makes the learning easier,Satisfaction,I am well informed of the information in this subject.,Irrelevant,none,Null,
Teaching,Acceptance,N/A,Null,Teaching,Disappointment,N/A,Null,
Nothing,Null,Chillness,Joy,Chillness,Irrelevant,Hope to be under your class again in the next school year :3,Joy,
none,Null,very good,Satisfaction,good in teaching,Irrelevant,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Already good,Satisfaction,Teaching,Satisfaction,Busy,Disappointment,N/A,Null,
NA,Null,Interesting topics,Joy,NA,Null,NA,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
Nothing,Null,The way she teaches,Satisfaction,Busy,Disappointment,Pagbigyan sa Thesis 😞😞,Irrelevant,
.,Null,.,Null,.,Null,.,Null,
None,Null,Good in teaching,Satisfaction,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
None.,Null,Availability and Helpfulness.,Satisfaction,No idea.,Null,None.,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
Up to the staff to decide :3,Irrelevant,Chillness,Joy,Chillness,Irrelevant,,Null,
.,Null,.,Null,.,Null,.,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
.,Null,.,Null,.,Null,.,Null,
,Null,Chillness,Joy,Chillness,Irrelevant,,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None.,Null,Availability.,Satisfaction,No idea.,Null,None.,Null,
.,Null,.,Null,.,Null,.,Null,
none,Null,none,Null,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
.,Null,.,Null,.,Null,.,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
.,Null,.,Null,.,Null,.,Null,
none,Null,none,Null,none,Null,none,Null,
.,Null,.,Null,.,Null,.,Null,
.,Null,.,Null,.,Null,.,Null,
nothing,Null,friendly,Joy,nothing,Null,nothing,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,none,Null,none,Null,none,Null,
Time allotment,Acceptance,Pratical,Satisfaction,Absent,Disappointment,None,Null,
Everything is excellent,Joy,Everything is excellent,Joy,Everything is excellent,Irrelevant,Everything is excellent,Satisfaction,
Everything is excellent,Joy,Everything is excellent,Joy,Everything is excellent,Irrelevant,Everything is excellent,Satisfaction,
makes the lesson more interesting and productive,Acceptance,the full of wisdom and experience,Joy,sometimes the lack of demonstration,Disappointment,more engaging lesson and makes everything productive,Satisfaction,
Nothing,Null,He is smart,Satisfaction,Nothing,Null,No,Null,
No,Null,No,Null,No,Null,No,Null,
To make the lessons correlate with something students are highly interested about.,Acceptance,somehow interactive,Satisfaction,none,Null,none,Null,
"To be fair, such a thrilling subject, you never know what's coming for you unless you attend the session every day. Although, it's not built for those who aren't prepared for the course, however it taught how to work well under pressure and that not everything is going to be in your favor. ",Joy,Practicality.,Satisfaction,"I guess when sometimes I feel hopeless about the course, since it makes me feel less of heard and understood?",Disappointment,Hoping for more improvements.,Acceptance,
None,Null,He tends to guide/give needed answers base on students questions,Satisfaction,None,Null,None,Null,
None,Null,He give informative answers to every question of the students,Satisfaction,none,Null,none,Null,
The instructor needs to put effort,Disappointment,None,Null,"When we ask questions, he/she will ask a question back",Disappointment,None,Null,
None,Null,The instructor encourages students to ask questions so that he/she will make it more clear f the students,Satisfaction,None,Null,None,Null,
Visual aids needs to be shorten and include important information,Acceptance,None,Null,Read all what was in the presentation then explains it,Disappointment,None,Null,
The prof will go early,Disappointment,He makes jokes to lighten everyone's mood to make students learn effectively,Joy,None,Null,None,Null,
None,Null,"Explains the topic clearly, and will repeat and ask about it for improved learning",Satisfaction,none,Null,none,Null,
The prof needs to go on time,Disappointment,He lets us understand and ask questions about the lessons,Satisfaction,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
More Hand's On Exercises,Acceptance,Being Approachable and Someone who I can look up to,Joy,None,Null,None,Null,
"None, sir Marv's teaching is already top notch :))",Joy,The way he's open to talk and answer questions whether it's right or wrong,Joy,None.,Null,None.,Null,
"None, [PROFESSOR] teaching is already enough with the experience's he have and shared it was full of fun memories and the learning curve was straighten a little bit with he's teaching.",Joy,Full of jokes and Constructive Criticism,Joy,None,Null,None.,Null,
nothing.,Null,approachable and kind prof.,Joy,nothing.,Null,none.,Null,
nothing.,Null,sir makes it easier to understand the lecture.,Satisfaction,nothing.,Null,none.,Null,
None,Null,The challenge,Satisfaction,None,Null,None,Null,
None,Null,Energetic,Joy,None,Null,None,Null,
None,Null,It's simple and easy to understand,Satisfaction,None,Null,None,Null,
None,Null,Indulging,Joy,None,Null,None,Null,
None,Null,Chill,Joy,None,Null,None,Null,
Inquire with the instructor of the pre requisite course to ensure smooth transition of lessons for the students.,Acceptance,"His preparedness and mastery of the subject, and his ability to explain the lessons in a way that is easily absorbed by the students.",Satisfaction,"Nothing, the standard is met and exceeded.",Satisfaction,Associate with the instructors of pre requisite courses for smooth transition of lessons,Acceptance,
None,Null,"Sir does give a lot of feedback so while we’re doing lab activities and i’m faced with errors or for some reason, just behind in class, calling for his attention does help because he tells us where our errors are and tells us how to do it correctly. And if the entire class is lost on a certain topic, he does his best to explain it once more so that everyone is able to understand and we proceed with the class with no one being left behind.",Joy,"I don’t know about other students but I would actually like to get my exam/ quiz papers back after it has been corrected by our instructor but other than that, my instructor teaches his subject well.",Disappointment,None,Null,
None,Null,It was a very straight forward class. Easy explanations were given on the topics and clear instructions were given for our assignments. He checks our assignments during our class time with him so we received our grades from him almost immediately. He also returns us our exam booklets/ lets us know how much we scored in our exams.,Joy,None,Null,None,Null,
None,Null,Constantly asks us if we’ve understood the topics he has explained and is willing to explain again if students do not.,Satisfaction,"I don’t know about other students but I would actually like to get my exam/ quiz papers back after it has been corrected by our instructor but other than that, everything’s fine.",Joy,The lecture part of this subject was understandable but applying it into our lab activities was extremely difficult for me. Maybe more guidance when doing lab activities would help with this?,Disappointment,
None,Null,Constantly asks us if we’ve understood the topics he has explained and is willing to explain again if students do not.,Satisfaction,None,Null,The lecture part of this subject was understandable but the lab part was difficult for me. Maybe more guidance when doing lab activities would help with this?,Disappointment,
Time management,Acceptance,He makes the subject more enjoyable and at the same time making us understand the lessons he's been teaching.,Joy,None,Null,"In terms of teaching, he makes the lessons a lot more easier to comprehend.",Satisfaction,
Time management,Acceptance,"His way of teaching, like making us understand the lessons a lot more easier and giving us challenge to fully understand and to gain skills.",Joy,None.,Null,None.,Null,
Time management,Acceptance,Comprehensive Teaching,Satisfaction,"He always don't come to our class because he is busy on his other work other than teaching, but we enjoy having class with him.",Disappointment,None.,Null,
Time management,Acceptance,Learning while having fun,Joy,None,Null,None,Null,
Time management,Acceptance,Up to date learning,Satisfaction,None,Null,None,Null,
None,Null,Friendly,Joy,None,Null,None,Null,
None,Null,Friendly,Joy,None,Null,None,Null,
None,Null,Very understanding to the students,Joy,None,Null,None,Null,
A brief overview about website tools to use such as figma.,Acceptance,Allows collaborative work and grade students based on their contribution to said groups.,Satisfaction,Advanced advices which often students can't keep up,Disappointment,Construct simple comments about the students work to boost effectivity of communication to improve projects,Acceptance,
"The course was absorbed by the students pretty good, it met the standard of the course.",Satisfaction,"Discussions were interactive, boosting the learning of students ",Joy,"Some topics lack time, which results to skimming which some students may not keep up",Disappointment,Keep some lessons simple with ample time for the students to fully grasp this introductory course,Acceptance,
Include more hands-on coding exercises and real-world project applications to strengthen practical understanding.,Acceptance,The instructor explained complex topics clearly and was always open to student questions.,Satisfaction,"Sometimes the pacing was a bit fast, especially during new or advanced topics.",Disappointment,"Overall, a great learning experience. ",Joy,
N/A,Null,"For being responsible to the students, teaching students equally.",Satisfaction,N/A,Null,N/A,Null,
N/A,Null,Provides significant info and giving exercises to do at home.,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,Uses analogies to explain concepts,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,Provides feedback in a simple way.,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Don't hire this kind of teacher who don't have the capacity to teach,Disappointment,I don't have any cause she doesn't know how to teach even her she doesn't know the topic at all.,Disappointment,I hate it all.,Disappointment,"Don't hire this kind of teacher it will ruin the name of the school, in my point I'm already very disappointed of what happen to us, I'm expecting to learn programming but instead this teacher doesn't know how to code. How could she teach us if she doesn't even know how?! If i could rate a negative to this i would.",Disappointment,
The teacher,Disappointment,Nothing,Null,Nothing because it's very poor performance.,Disappointment,Her voice os very low she can only hear her voice.,Disappointment,
Nothing,Null,The vibes he do really connect with the students and make sure everyone is learning.,Joy,Nothing cause i like it all,Satisfaction,I do really appreciate this kind of teacher this is the standard that the school need.,Joy,
Nothing to improve cause it's already perfect.,Satisfaction,"She has the mastery of the subject, and also she's very approachable ",Joy,Nothing.,Null,This should be the standard when hiring a college instructor.,Satisfaction,
Nothing,Null,Approachable,Joy,Nothing,Null,I really like it.,Joy,
The phasing it should be slower a little bit when explaining something.,Acceptance,Has the mastery of the subject,Satisfaction,Explain faster,Disappointment,Just explain a little slower,Acceptance,
Don't let the student do the reporting it should be the teacher who explain.,Acceptance,Engaging lesson,Joy,He's letting the students do the reports but not all student can explain it.,Disappointment,It's should be the teacher not the student.,Disappointment,
Change instructor who has mastery of the subject.,Disappointment,Nothing,Null,Grading system is not much with the teaching,Disappointment,Grading system is not much with the teaching,Disappointment,
Nothing,Null,Making fun and engaging the subject,Joy,Nothing,Null,This is the standard that i want when it comes to instructor,Satisfaction,
Having more interaction with the teachers,Acceptance,His straight up answers,Satisfaction,Few minutes late,Disappointment,None,Null,
More communication between students and professors.,Acceptance,She gives us work based on the powerpoint she posts which makes us independent.,Satisfaction,Her reading from the powerpoint and not explaining further like putting the problems in situations and examples. It was very fast paced and she moves on to a new lesson right away after the other.,Disappointment,"Hope she interacts with the students more, like making fun activities if the students really did understand anything because sometimes students lie about understanding the lessons because they don't know what to say.",Acceptance,
Grades,Acceptance,None,Null,Grading,Disappointment,None,Null,
None,Null,His teaching strats,Satisfaction,Favoritism,Disappointment,None,Null,
None,Null,None,Null,Over,Disappointment,None,Null,
No guidance,Disappointment,None,Null,Sarcasm,Disappointment,None,Null,
None,Null,None,Null,Grading,Disappointment,None,Null,
"Nothing, it's already okay",Satisfaction,"After every new lessons, the prof would give tasks/activities to know if students did understand which makes us students feel the need to learn the lessons while the prof was teaching so we won't fail the activities given after.",Satisfaction,Nothing,Null,None,Null,
N/A,Null,everything,Joy,So kind and helpful,Irrelevant,none,Null,
None,Null,Patient,Joy,Good,Irrelevant,None,Null,
I hope the instructor would know the lessons taught to us before moving to new activities.,Disappointment,The activities given would make the students force themselves to learn the lessons.,Satisfaction,New topics for activities given even though we didn't learn it the lecture subject yet. Which is okay but sometimes the topics given are completely advanced.,Disappointment,None,Null,
none,Null,everything,Joy,none,Null,none,Null,
None,Null,Gives us tips and tricks on coding,Satisfaction,None,Null,None,Null,
none,Null,everything,Joy,none,Null,none,Null,
none,Null,patient and understanding,Joy,none,Null,none,Null,
None,Null,Fun activities,Joy,None,Null,None,Null,
none,Null,understanding,Joy,none,Null,none,Null,
None,Null,Explains the lessons well,Satisfaction,None,Null,None,Null,
None,Null,Visual Learning,Satisfaction,None,Null,Thank you sir <<33,Joy,
N/A,Null,N/A,Null,N/A,Null,"Thank you, sir <<3",Joy,
N/A,Null,Visual Learning,Satisfaction,N/A,Null,"Thank you, sir <<33",Joy,
N/A,Null,N/A,Null,N/W,Null,"Thank you, sir <3",Joy,
N/A,Null,Teaching,Satisfaction,Comprehensive,Irrelevant,N/A,Null,
nothing,Null,friendly,Joy,nothing,Null,nothing,Null,
None,Null,provides clear examples,Satisfaction,"sometimes, explanations are a bit fast",Disappointment,None,Null,
If its possible to change the programing language from java to something else like C# or C++,Acceptance,He's willing to go out of his way to show what's wrong and give tips and hints to rectify said errors in our coding sessions,Satisfaction,The language he's teaching java,Disappointment,Nothing else,Null,
None,Null,He gives a proper explanation of the lesson,Satisfaction,None,Null,None,Null,
nothing,Null,mind games,Joy,nothing,Null,nothing,Null,
NONE,Null,friendly,Joy,none,Null,none,Null,
NONE,Null,FRIENDLY,Joy,NONE,Null,NONE,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,Teaches well,Satisfaction,none,Null,none,Null,
None,Null,The way he demonstruct everything,Satisfaction,None,Null,None,Null,
None,Null,Teaching very well,Satisfaction,None,Null,None,Null,
None,Null,"She provides clear and thorough explanations, making each lesson easy for us to understand.",Satisfaction,None,Null,None,Null,
I'd like the teaching to be more comprehend-able since assembly language is already hard.,Acceptance,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Very creativity and knowledgable,Joy,Energetic,Irrelevant,NA,Null,
None,Null,None,Null,None,Null,None,Null,
I hope that she will provide clearer explanations and simpler examples to help us better understand the lessons,Acceptance,None,Null,I sometimes had a hard time understanding the lessons,Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
The lesson about assembly should be another high level language,Acceptance,Her patience,Joy,Nothing,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,"I like that sir incorporates fun activities into his teaching, which helps us understand the lessons better.",Joy,None,Null,None,Null,
None,Null,He's explaining the lesson very well and very concise.,Satisfaction,"None, he is fun and creative. ",Joy,none,Null,
The time,Acceptance,His patience,Joy,Nothing,Null,Nothing,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Maybe the time given,Acceptance,All of it,Joy,None,Null,None,Null,
N/A,Null,Understandable in alot of cases while not having challenges,Acceptance,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,none,Null,none,Null,nobe,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,Applying my learnings for improvements,Satisfaction,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,none,Null,none,Null,nonr,Null,
None,Null,None,Null,None,Null,None,Null,
The difficulty of the lesson,Acceptance,He teaches very well,Satisfaction,The lack of time to teach,Disappointment,None,Null,
none,Null,none,Null,none,Null,none,Null,
more lesson time,Acceptance,nothing,Null,game focused,Disappointment,none,Null,
none,Null,good,Satisfaction,none,Null,none,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,All of it,Satisfaction,None,Null,None,Null,
nothing,Null,teaching comprehension,Satisfaction,nothing,Null,nothing,Null,
None,Null,None,Null,None,Null,None,Null,
NA,Null,na,Null,na,Null,na,Null,
The difficulty,Acceptance,Concrete explanations,Satisfaction,All,Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Nome,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Patience and consideration,Joy,None,Null,None,Null,
None,Null,His consideration,Joy,None,Null,None,Null,
nothing,Null,intellectual,Satisfaction,nothing,Null,nothing,Null,
none,Null,Intellectual,Satisfaction,none,Null,none,Null,
none,Null,Intellectual,Satisfaction,none,Null,none,Null,
none,Null,intellectual,Satisfaction,none,Null,none,Null,
none,Null,intellectual,Satisfaction,none,Null,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
No idea,Null,They teach it thorough but it can be done better,Acceptance,"No visual coding, ig?",Disappointment,No,Null,
"No changes, it's fine as it is",Satisfaction,"They explain and teach it very well, ig?",Satisfaction,No idea,Null,No,Null,
"The lessons/topics should focus more on basics first, and should be taught in-depth and more specific.",Acceptance,The way that she is trying her best to help us understand the lessons.,Joy,She's more likely giving less explanation on the lessons and more on reading the presentations.,Disappointment,None,Null,
More guides,Acceptance,The passion of showing students and giving examples as to where can we use our skills,Joy,None,Null,None,Null,
None,Null,His enthusiasm and willingness to teach students and his great attitude,Joy,None,Null,None,Null,
Lessons that will truly enhance students understanding,Acceptance,Her dedication and putting effort to provide students adequate knowledge,Joy,"Her voice is kinda low, it lacks energy. Sometimes we are not having the will to learn the topics being discuss.",Disappointment,None,Null,
More activities that would engage students to focus on lessons.,Acceptance,His way of teaching the lessons and provide enough concept to the students.,Satisfaction,None,Null,None,Null,
NONE,Null,NA,Null,NA,Null,NONE,Null,
More visuals should be provided for easy understanding or just to give ideas what the topics will be about.,Acceptance,"His dedication and great attitude in bringing new knowledge to students, and giving more opportunities in class,",Joy,None,Null,None,Null,
NONE,Null,NA,Null,NONE,Null,NONE,Null,
More group activities,Acceptance,His discipline to students and giving us engagement to practice more,Satisfaction,None,Null,None,Null,
NONE,Null,NA,Null,NONE,Null,NONE,Null,
NONE,Null,NA,Null,NONE,Null,NONE,Null,
NONE,Null,He teaches well and patient on us since we struggled at first on understanding the lessons,Satisfaction,NA,Null,NONE,Null,
Change the prof.,Disappointment,Nothing,Null,EVERYTHING IS POOR,Disappointment,Don't hire this kind of instructor.,Disappointment,
None,Null,"I especially like when the professor made sure to answer every question any student has, and speaks clearly about his points.",Satisfaction,None,Null,None.,Null,
None,Null,"I like the professor’s ability to explain and further elaborate on the topics being discussed, and made sure to read through each answer on tests/assignments.",Satisfaction,There are sometimes too much information being taught in one class.,Disappointment,None,Null,
I dont have any recommendations,Null,He can simplify the complicated lectures,Satisfaction,Nothing,Null,None,Null,
NONE,Null,NA,Null,NONE,Null,NONE,Null,
I think focusing more on hands-on activities and apply more techniques would improve the course.,Acceptance,"The professor encourages us to listen intently in his lessons, and to study more than what was discussed.",Satisfaction,The professor does not always give subject materials on time,Disappointment,None,Null,
,Null,,Null,,Null,,Null,
,Null,,Null,,Null,,Null,
none,Null,very knowledgeable and accommodating,Joy,none,Null,none,Null,
Nothing,Null,"Great at teaching, it's just i'm the problem",Satisfaction,None,Null,None,Null,
,Null,,Null,,Null,,Null,
none,Null,Highly knowledgeable and resourceful,Joy,none,Null,none,Null,
Nothing more,Null,"The way he adjusted our schedule, knowing that we are all professional and working in different offices, sometimes we are really busy, but the way our prof handles, its been 100% commendable",Joy,Calm,Irrelevant,"None
",Null,
Nothing,Null,Everything,Joy,None,Null,None,Null,
N/A,Null,Approachable,Joy,N/A,Null,N/A,Null,
None,Null,"I like how easy it is to interact with the professor, and how she encourages us to be active in her class",Joy,None,Null,None,Null,
None,Null,"I like the professor’s ability to encourage student to participate using group discussions and presentations, while also adding further information about the topics.",Satisfaction,None,Null,None,Null,
None,Null,"The professor offers advices, techniques, and tips, while also encouraging us to learn further more to improve our projects.",Satisfaction,None,Null,None,Null,
None,Null,The professor provides us with many feedback to give us more insights and improve our projects.,Satisfaction,None,Null,None,Null,
"The course would be improved if there were more time to prepare and learn about the subject, and if there were also other subjects that could best prepare us for the requirements needed.",Acceptance,The professor is active in discussion and provides students with a lot of useful information.,Satisfaction,None,Null,None,Null,
Discussions,Acceptance,N/A,Null,There were no discussions,Disappointment,Discussions and a way to earn better grades,Acceptance,
"NOTHING, THE COURSE IS GOOD ",Satisfaction,"HER EXCELLENCY IN TEACHING, SHE IS ALSO APPROACHABLE AND FOR ME THAT IS REALLY IMPORTANT.",Joy,NOTHING,Null,"I AM JUST SO THANKFUL FOR HAVING HER AS OUR INSTRUCTOR, SHE'S ONE OF A KIND, BRILLANT.",Joy,
More lecture sources,Acceptance,Straight to the point- when it comes to explanations and samples,Satisfaction,none,Null,none,Null,
None,Null,Knows what he says,Satisfaction,Considerate,Irrelevant,None,Null,
none,Null,collaborative and interactive,Satisfaction,none,Null,none,Null,
More more more activities,Acceptance,Knows well esp. About data management and analytics,Satisfaction,Considerate and helpful,Irrelevant,None,Null,
More more activities,Acceptance,"Friendly, professional and knows the aubject matter deeply",Joy,None,Null,None,Null,
None,Null,Helpful and intelligent,Joy,Calm,Irrelevant,None,Null,
More time since summer has a shorter length for classes compared to normal semester,Acceptance,Very intuitive and shows mastery of the subject matter,Satisfaction,n/a,Null,n/a,Null,
none,Null,very knowledgeable and resourceful,Joy,none,Null,none,Null,
Stay the same,Satisfaction,"His comments or our works, advice etc.",Satisfaction,None,Null,None,Null,
None,Null,When he is explaining and we got immersed,Satisfaction,None,Null,None,Null,
None,Null,"Open, lively, teaches great, rightfully strict etc",Joy,None,Null,None,Null,
Give formulas for operators,Acceptance,Activities every after lecture,Satisfaction,Tardiness,Disappointment,None,Null,
slower phase so student can adopt and keep up to the lessons,Acceptance,his expertise towards the subject,Satisfaction,teaching too fast some student with lack of device cannot keep up,Disappointment,nothing,Null,
None,Null,"Giving us time, open, gives chance for improvement to our works, approachable for activities",Joy,None,Null,None,Null,
none,Null,how easy his explanations are,Satisfaction,none,Null,none,Null,
awareness of time and announce early for some excuses or some inconvenience,Acceptance,being attentive and approachable,Joy,none,Null,none,Null,
Be on time and announce the inconvenience ahead of time,Acceptance,for being attentive and having more than enough knowledge on the course,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,"Strict, approachable, up on date teaching ",Satisfaction,None,Null,None,Null,
I recommend adding materials to the class as an example,Acceptance,She teaches well,Satisfaction,Nothing,Null,Nothing,Null,
None,Null,Explaining,Satisfaction,None,Null,None,Null,
None,Null,Explanation,Satisfaction,None,Null,Nine,Null,
I recommend adding more learning material in class,Acceptance,Personality and Professionalsm,Joy,Time management,Disappointment,None,Null,
none,Null,personality,Joy,none,Null,none,Null,
More book or docs explaining the lesson,Acceptance,Fun,Joy,Nothing,Null,Nothing,Null,
none,Null,Guidance,Joy,none,Null,none,Null,
It is good as it gets,Satisfaction,Sir Vinz can relates to us,Joy,nothing,Null,Sir [PROFESSOR] da goat,Joy,
None,Null,All,Joy,Frequently asking students if we understood the lesson,Boredom,None,Null,
None,Null,Teachings,Satisfaction,None,Null,None,Null,
More book or docs explaining the lesson,Acceptance,Chill,Joy,Nothing,Null,Nothing,Null,
Nothing,Null,"What I liked best about my instructor’s teaching was his ability to explain complex topics in a simple and relatable way. He used real-life examples and encouraged active participation, which made learning more engaging and effective.",Joy,Nothing,Null,Nothing more,Null,
Materials,Acceptance,Teaches well,Satisfaction,nothing,Null,northing,Null,
Exams are fun or easier,Satisfaction,How fun and entertaining,Joy,None,Null,None,Null,
none,Null,he explained the lessons carefully,Satisfaction,none,Null,none,Null,
Nothing,Null,Being professional,Satisfaction,None,Null,None,Null,
none,Null,they explain the lessons clearly,Satisfaction,none,Null,none,Null,
"I hope the instructors would take time to teach the topics in depth and hands on, while providing an analogy or real wold examples to better understand the concepts ",Acceptance,The visual materials she presents every discussion,Joy,Not explaining the concepts in-depth,Disappointment,N/A,Null,Null
Nothing,Null,"He used real-life examples and encouraged active participation, which made learning more engaging and effective.",Satisfaction,Nothing,Null,Nothing more,Null,
None,Null,Teachings skills,Satisfaction,None,Null,Noje,Null,
None,Null,Activities and his way of teaching,Satisfaction,Reminding us if we understood the lesson.,Boredom,none,Null,
Nothing more,Null,"What I liked best about my instructor’s teaching was her ability to explain complex topics in a simple and relatable way. She used real-life examples and encouraged active participation, which made learning more engaging and effective.",Joy,Nothing,Null,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction,
No,Null,Guidance,Satisfaction,None,Null,None,Null,
Nothing,Null,Nothing,Null,Idk,Null,Nothing,Null,
More book or docs explaining the lesson,Acceptance,Fun and chill,Joy,Nothing,Null,Nothing,Null,
Nothing,Null,"What I liked best about my instructor’s teaching was his ability to explain complex topics in a simple and relatable way. He used real-life examples and encouraged active participation, which made learning more engaging and effective.",Joy,Nothing,Null,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction,
None,Null,Samples,Satisfaction,None,Null,None,Null,
None,Null,Providing samples,Satisfaction,None,Null,None,Null,
Nothing,Null,"He used real-life examples and encouraged active participation, which made learning more engaging and effective.What I liked best about my instructor’s teaching was his ability to explain complex topics in a simple and relatable way. ",Joy,Nothing,Null,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction,
None,Null,Straightforward explanation,Satisfaction,None,Null,None,Null,
Nothing,Null,"my instructor’s teaching was her ability to explain complex topics in a simple and relatable way. She used real-life examples and encouraged active participation, which made learning more engaging and effective.",Joy,Nothing,Null,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction,
