School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
,,,,,I sometimes find myself losing focus during calm explanations.,Boredom,,,,,,I liked that the class didn’t change its boring routine.,Boredom,,,,,,The delivery didn’t really stimulate my interest.,Boredom,,,,,,Sometimes the classes feel lifeless.,Boredom
,,,,,Could include challenges or puzzles to make it interesting.,Boredom,,,,,,The boring lectures made it easy to think about other things.,Boredom,,,,,,"I had difficulty keeping my focus in long, quiet sessions.",Boredom,,,,,,The way the topics are discussed makes them less interesting.,Boredom
,,,,,"The subject is fine, but the delivery feels monotonous at times.",Boredom,,,,,,I liked how steady the monotony felt.,Boredom,,,,,,The repetition in teaching style made it feel dull.,Boredom,,,,,,I get distracted easily when the lectures feel too long.,Boredom
,,,,,"Sometimes lectures drag, making it hard to stay attentive.",Boredom,,,,,,"The dullness was calming, in its own way.",Boredom,,,,,,I sometimes wished for more breaks to break the monotony.,Boredom,,,,,,Sometimes I feel like I’m not learning because I zone out.,Boredom
,,,,,More interactive tasks would make the course enjoyable.,Boredom,,,,,,I liked that the boring lessons were easy to zone out of.,Boredom,,,,,,The class sometimes felt draining without energy.,Boredom,,,,,,The lack of variety makes me feel uninterested.,Boredom
,,,,,Some explanations feel long and repetitive.,Boredom,,,,,,The best part was how unexciting every day felt.,Boredom,,,,,,It was a bit hard to stay awake in the sessions.,Boredom,,,,,,"The content is good, but the teaching style is boring.",Boredom
,,,,,Could benefit from short discussions or quizzes.,Boredom,,,,,,I liked the lack of energy in class—it was boring but consistent.,Boredom,,,,,,"The approach lacked creativity, which made it boring at times.",Boredom,,,,,,It feels repetitive when the same method is always used.,Boredom
,,,,,"Occasionally, I feel sleepy during calm teaching.",Boredom,,,,,,The boring pace made the class drag on endlessly.,Boredom,,,,,,The class atmosphere felt heavy and slow.,Boredom,,,,,,The subject is interesting but feels dull in class.,Boredom
,,,,,More group activities could break monotony.,Boredom,,,,,,I liked that the lessons were boringly reliable.,Boredom,,,,,,I had trouble concentrating because of the steady tone.,Boredom,,,,,,I feel sleepy when there’s little energy in lectures.,Boredom
,,,,,Some lessons feel slow and unexciting.,Boredom,,,,,,"The monotone teaching style was dull, but steady.",Boredom,,,,,,It was like sitting through a calm speech for hours.,Boredom,,,,,,The classes could use more creative ways to explain.,Boredom
,,,,,Adding fun examples could make the lectures lively.,Boredom,,,,,,"I liked the quiet, though it was boring.",Boredom,,,,,,"The lessons felt too serious, lacking fun or energy.",Boredom,,,,,,"The lectures sometimes drag, making me lose interest.",Boredom
,,,,,"Sometimes the pace is too calm, leading to boredom.",Boredom,,,,,,The boring explanations gave me time to breathe.,Boredom,,,,,,Sometimes it was more reading than actual teaching.,Boredom,,,,,,I tend to get bored when it’s just reading slides.,Boredom
,,,,,Could include mini-projects to engage students more.,Boredom,,,,,,I liked that the pace never changed.,Boredom,,,,,,The room vibe often felt sleepy and repetitive.,Boredom,,,,,,The subject could be made more exciting with better examples.,Boredom
,,,,,"Some lectures feel repetitive, making it hard to focus.",Boredom,,,,,,The dull lectures gave me a sense of routine.,Boredom,,,,,,The flow was flat and didn’t spark much interest.,Boredom,,,,,,It’s tiring to just sit and listen the whole time.,Boredom
,,,,,"Occasionally, the class feels too calm and monotonous.",Boredom,,,,,,I liked the boring style—it was easy to endure.,Boredom,,,,,,I lost focus because the lessons dragged on.,Boredom,,,,,,The lack of energy makes me less motivated.,Boredom
,,,,,More hands-on activities or games would make the course fun.,Boredom,,,,,,"The class was boring, but that meant less stress.",Boredom,,,,,,Sometimes the delivery felt lifeless.,Boredom,,,,,,Sometimes I feel like the class is dragging on.,Boredom
,,,,,Sometimes I wish the class was more energetic.,Boredom,,,,,,I liked the calm dullness of the teaching.,Boredom,,,,,,The sessions often felt like they lacked excitement.,Boredom,,,,,,The repetitive style makes me bored.,Boredom
,,,,,"The explanations are clear, but the delivery can feel dull.",Boredom,,,,,,The boring repetition made it predictable.,Boredom,,,,,,It was hard to keep engaged with the slow style.,Boredom,,,,,,The long PowerPoints make me lose attention.,Boredom
,,,,,Could include short interactive exercises to keep attention.,Boredom,,,,,,I liked that I never felt surprised in class.,Boredom,,,,,,The monotone made the class feel longer than it was.,Boredom,,,,,,It’s boring without student interaction.,Boredom
,,,,,Some topics drag on and make it harder to focus.,Boredom,,,,,,The monotony was dull but steady.,Boredom,,,,,,The lectures were useful but sometimes very dull.,Boredom,,,,,,I feel drowsy with the current lecture style.,Boredom
,,,,,More lively examples would make the lectures enjoyable.,Boredom,,,,,,I liked the uneventful pace of the lessons.,Boredom,,,,,,"The method was repetitive, making it feel monotonous.",Boredom,,,,,,Sometimes I feel like I’m just waiting for class to end.,Boredom
,,,,,"Occasionally, the lectures feel slow and sleepy.",Boredom,,,,,,The boring lectures were always the same.,Boredom,,,,,,I struggled with interest because it lacked variety.,Boredom,,,,,,The class could be more lively with more variety.,Boredom
,,,,,Adding brief discussions could make the class more engaging.,Boredom,,,,,,I liked how the dullness kept the class calm.,Boredom,,,,,,Sometimes I felt more like reading notes than learning.,Boredom,,,,,,The lectures are too flat and repetitive.,Boredom
,,,,,Some lessons feel repetitive and lack excitement.,Boredom,,,,,,The boring routine was easy to sit through.,Boredom,,,,,,The tone of teaching didn’t hold my focus.,Boredom,,,,,,The lessons feel long and monotonous.,Boredom
,,,,,Could include short challenges to keep students active.,Boredom,,,,,,I liked that the lessons were never exciting—it made them simple.,Boredom,,,,,,I found it dull when everything was done the same way.,Boredom,,,,,,I find it boring when everything is explained the same way.,Boredom
,,,,,Sometimes I find the pace too slow to stay engaged.,Boredom,,,,,,The dullness gave me space to think.,Boredom,,,,,,The lessons could use more energy to avoid sleepiness.,Boredom,,,,,,It feels tiring when there’s no change in pace.,Boredom
,,,,,More variety in teaching methods would help attention.,Boredom,,,,,,I liked that I could zone out during the boring lectures.,Boredom,,,,,,"It sometimes felt too quiet, with no spark.",Boredom,,,,,,The lack of interactive parts makes me feel bored.,Boredom
,,,,,"Some examples are overly long, making the class feel boring.",Boredom,,,,,,The boring slides were predictable.,Boredom,,,,,,"The class was okay, but boring at times.",Boredom,,,,,,The class drags when there are no activities.,Boredom
,,,,,Including more group work could break the monotony.,Boredom,,,,,,I liked how unexciting the teaching was.,Boredom,,,,,,"It felt draining because of the long, calm explanations.",Boredom,,,,,,It feels like the lectures go on without much excitement.,Boredom
,,,,,"Occasionally, I zone out because the lecture is too calm.",Boredom,,,,,,The dull delivery was at least reliable.,Boredom,,,,,,The lack of activities made the class monotonous.,Boredom,,,,,,Sometimes I feel like the class is too quiet and boring.,Boredom
,,,,,Could benefit from short interactive exercises or polls.,Boredom,,,,,,I liked the boring routine—it felt steady.,Boredom,,,,,,It felt like there was no change in rhythm.,Boredom,,,,,,The lectures could use more energy.,Boredom
,,,,,"The class is fine, but some topics feel tedious.",Boredom,,,,,,"The lectures were boring, but they gave me consistency.",Boredom,,,,,,"The delivery was consistent, but maybe too consistent.",Boredom,,,,,,It’s boring when the professor just sticks to slides.,Boredom
,,,,,More practical exercises could make it less boring.,Boredom,,,,,,"I liked that the pace was always the same, though dull.",Boredom,,,,,,I found myself getting bored because nothing broke the flow.,Boredom,,,,,,The class sometimes feels endless.,Boredom
,,,,,"Sometimes lectures feel slow, making it hard to focus.",Boredom,,,,,,The boring tone was easy to ignore.,Boredom,,,,,,The way he explained made me sleepy sometimes.,Boredom,,,,,,I zone out during lectures because they feel repetitive.,Boredom
,,,,,Could include mini-games or tasks to make it fun.,Boredom,,,,,,I liked how flat the lessons felt.,Boredom,,,,,,It felt too one-sided without interaction.,Boredom,,,,,,The subject feels less exciting when taught this way.,Boredom
,,,,,"Occasionally, I get sleepy during calm explanations.",Boredom,,,,,,"The boring teaching made time crawl, but it was simple.",Boredom,,,,,,The class energy was too low to stay alert.,Boredom,,,,,,I often feel drowsy during class.,Boredom
,,,,,Some topics feel dry without engaging demonstrations.,Boredom,,,,,,I liked that there was no excitement to distract me.,Boredom,,,,,,The lessons sometimes dragged because of the style.,Boredom,,,,,,The discussions lack variety and energy.,Boredom
,,,,,More hands-on activities would make lessons enjoyable.,Boredom,,,,,,The dull style made it easy to know what was coming.,Boredom,,,,,,It was difficult to feel engaged with the steady tone.,Boredom,,,,,,It feels boring when the professor talks too long without breaks.,Boredom
,,,,,Sometimes I feel the lectures are too repetitive.,Boredom,,,,,,I liked the boring rhythm of the class.,Boredom,,,,,,"The classes lacked fun elements, which made them boring.",Boredom,,,,,,The style of teaching makes me uninterested at times.,Boredom
,,,,,Could use more examples from real-life applications.,Boredom,,,,,,The monotony gave me a sense of calm.,Boredom,,,,,,The lessons were informative but not stimulating.,Boredom,,,,,,Sometimes I feel restless because of the teaching style.,Boredom
,,,,,"Occasionally, I lose interest because the class is too calm.",Boredom,,,,,,"I liked how uneventful everything was, even if it was boring.",Boredom,,,,,,Sometimes it felt more like reading notes than teaching.,Boredom,,,,,,The monotone lessons make me feel sleepy and less engaged.,Boredom
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 213,"Social and Professional
Practice",Enjoyable learning.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"The Broad idea of topic he was teaching ,that can make students feel interested .",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,nothing. [PROFESSOR] BEST PROF! <3<3,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"he was my prof for 2 subjects already, honestly the best teacher. that's why i dont really have any complaints with my grades cause whatever the outcome is, i deserve it. its on my part now if i fail, because he's doing his part well as a teacher.",Joy
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies",More activities because his activities are fun for me to do,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Explains well and uses different analogy to help us understand,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",It's easy to understand,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,WE LOVE [PROFESSOR]! <3<3<3,Joy
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,make it more fun and joyful yet serious,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"Top 1 best prof so far, its obvious that he loves his work and you can clearly see it with the way he teaches us. he explains everything so well, gives in real life explanation and elaborates it further when it gets confusing. he also likes to talk out his experiences which makes us understand the specific topic more. he's also very considerate with us, our time and our knowledge capacity. i mean like, when he knows that we are struggling with specific topic, sometimes he elaborates that one topic that it would eat the whole subject time. and honestly its fine for me. he gives out also the modules or ppts that he uses in class. so for the topics that are easy and okay to be skipped, we can read on those later. he's also very mindful and gives chances when u fail to submit assignments or projects or activities on time. he's really nice in and out of class. :))",Joy,2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,"Professional Issues in
Computing","A guider, understanding, smooth teaching, ",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,"very understanding, always in a good mood.",Joy
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",I had fun and just wished we had more time face to face in Lab.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"the instructor is very understanding and cares about the student, 
strict during exams but doesn't give a lot of pressure to the students",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",Learning about the subject is easy becauss of the teachee,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"[PROFESSOR] very student friendly, always good mood! ",Joy
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,more practical activities because I enjoyed the activities that were given to us by our instructor even though its not that easy.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"the professor is very understanding and knows his student very well.
gives a real-life scenario so we can apply it when we work in real life
doesn't focus much on PPT and focuses on actual idea of the PPT, this gives students more knowledge about the PPT itself rather than understanding the words on the PPT",Joy,,,,,,none,Acceptance,2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,"Professional Issues in
Computing",THANKYOU SIR FOR TEACHING US 💟,Joy
2024-2025,2nd Semester,Bachelor of Science in Computer Science,WD 114,Web Development 1,"Nothing, sir is the G.O.A.T (Greatest Of All Time)",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"the instructor teaches us like we are in a network engineering school
the instructor knows the subject very well
gives us time to finish our assignments
gives clear instruction for our assignments making it easy for us to do it on our own
giving us more than enough knowledge for the subject
even tho the PPT is hard to understand he still explains it anyway and ensures us that we understand the lesson",Joy,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",thank you for teaching us [PROFESSOR],Joy
2024-2025,2nd Semester,Bachelor of Science in Computer Science,DS 111,Discrete Structures 1,"Nothing, this is the best class I have been in so far. ",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Real-time learning examples.,Joy,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"maybe go a bit slower on the explanation, but other than that I loved the subject and would love to have you again as an instructor",Joy
2024-2025,Summer,Bachelor of Science in Computer Science,CS 130,Thesis 1,"None, the goat [PROFESSOR]",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"The dynamic way the professor would teach, especially in a lecture since he comes up with ways to relate the subject to what we already know.",Joy,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","The Best ka talaga Sir hehe, Happy New year po <3",Joy
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,I believe the professor knows best how to improve the course. Absolutely great!,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"That they relate the previous topic discussed to the current topic, it helps us students refresh ourselves and connect the dots to the current topic.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,My instructor's teaching is so energetic to anyone and teach in a charismatic way,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"none, he does his job well",Joy
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,Nobody is perfect but that is what makes us humans. So I'd say that just be him and continue his style of teaching,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",[PROFESSOR] explains the topics presented in a compact and easy to understand manner,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies","Kind and gets along well with the class.""",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Great teacher!,Joy
2024-2025,2nd Semester,Bachelor of Science in Information Technology,CC 102,Computer Programming 2,I have no chnages in mind my experience was amazing,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,How he explains the problems with real life situations to better understand the concept of the problem or syntax of code,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,I don't have any because I just loved all about my instructor's teachings,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Very good.,Joy
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 122,"Introduction to Human-
Computer Interaction","I don't have any particular changes in mind, the class and also the instructor was amazing, the instructor has delivered a comprehensive and engaging learning experiences that correlates to the course",Joy,2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,"Professional Issues in
Computing",Very smooth and understanding prof,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,NICE,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","[PROFESSOR] is really a professional, he do not answer phone calls during his lecture time even though it will still ring for many times after he declined those calls.",Joy
2024-2025,2nd Semester,Associate in Computer Techonology Major in Networking,,,Everything is excellent,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",He's very attentive and always interact with students,Joy,2024-2025,2nd Semester,Associate in Computer Technology Major in Networking,ACT 124,Object-Oriented Programming,very good,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,[PROFESSOR] is a good instructor over all,Joy
2024-2025,2nd Semester,Associate in Computer Techonology Major in Networking,,,Everything is excellent,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Excitement when teaching,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 221,"Integrative Programming
and Technologies 1","I don’t know about other students but I would actually like to get my exam/ quiz papers back after it has been corrected by our instructor but other than that, everything’s fine.",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"lucky to have him as our prof, wish him to be our capstone adviser",Joy
2024-2025,2nd Semester,Bachelor of Science in Information Technology,CC 102,Computer Programming 2,"To be fair, such a thrilling subject, you never know what's coming for you unless you attend the session every day. Although, it's not built for those who aren't prepared for the course, however it taught how to work well under pressure and that not everything is going to be in your favor. ",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,"[PROFESSOR] always elaborates our lessons with real-life scenarios and relatable happenings, making every information easier to absorb.",Joy,2024-2025,2nd Semester,Associate in Computer Technology Major in Networking,ACT 123,"Systems
Administration","None, he is fun and creative. ",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,heheheh thank you sir for teaching us and sharing your knowledge and techniques with us and having an enjoyable lessons.,Joy
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 134,Social and Professional Practice,"None, [PROFESSOR] teaching is already top notch :))",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","kind, transparent , and the ability to make complex concepts accessible through clear explanations, engaging real-world examples, and a willingness to answer questions patiently",Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,AC 128,Algorithms and Complexity,Step by step,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,thank you sir,Joy
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 142,Systems Administration and Maintenance,"None, [PROFESSOR] teaching is already enough with the experience's he have and shared it was full of fun memories and the learning curve was straighten a little bit with he's teaching.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"[PROFESSOR] was always hands on when it comes to teaching, and he's patient even to those who are slow in programming, like me. ",Joy,2024-2025,2nd Semester,Master in Information Technology,MIT CC1,Emerging Trends of Computing,"I really appreciated how my instructor made complex topics easier to understand, connected lessons to real-world examples, and encouraged open discussions that made learning more engaging.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 143,Thesis 2,Best Prof,Joy
,,,,,"I really enjoyed the course, everything was engaging and fun.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies",very understandable and very good ways of teaching their students,Joy,,,,,,I can’t think of anything I disliked — every class was a joy.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 143,Thesis 2,Thank you [PROFESSOR],Joy
,,,,,More interactive activities would make it even more enjoyable.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",Explaining the topics in a way that everyone will understand,Joy,,,,,,"If I had to pick something, it’s that the sessions ended too quickly.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Thank you,Joy
,,,,,The instructor makes learning fun; nothing needs changing.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"she explains well, interacts with interactive students also, she answers questions well. and what lessons she taught us would exactly come out of the exam and quizzes too. she's considerate also with deadlines, but not towards quiz/exams though T_______T. like if you misspell answers like missing 's' or other stuff, its wrong HAHAHAH, but it's fine though.",Joy,,,,,,Nothing bothered me; the instructor made learning fun.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,"Keep it up, sir!",Joy
,,,,,Loved the hands-on activities; they made the lessons exciting.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,they would explain the topic very thoroughly and making it very easy to understand,Joy,,,,,,The only downside is that I wanted more time each class.,Joy,2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,Professional Issues in Computing,Thank you [PROFESSOR]!,Joy
,,,,,The class is already fantastic; no improvements needed.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"he explains well, a good bully also HAHAHAHA which is fun cause it ease up the tension and nervousness. he elaborates stuff, answers question good. and also good with throwing out questions (for that one time in reporting day). ",Joy,,,,,,I don’t have any complaints — I looked forward to every lecture.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,Thank you for this class [PROFESSOR]!,Joy
,,,,,"I really look forward to each session, it’s enjoyable.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Full attentiveness and keeps the class more alive,Joy,,,,,,The least I liked was having to leave when class finished.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Love you sir 🩷,Joy
,,,,,The way the lessons are taught makes the course fun.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,"Networks and
Communications",His explanations are very clear and easy to understand,Joy,,,,,,No negatives — the teacher’s enthusiasm was contagious.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Loveyou ma'am. Thank you 🩷,Joy
,,,,,"I’m happy with the course, everything is engaging and clear.",Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",I like the part when then intructor is open on students when asking question and after class.,Joy,,,,,,The only “problem” was enjoying class so much I lost track of time.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,well rounded instructor,Joy
,,,,,The professor’s energy makes the class enjoyable.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",[PROFESSOR] Explained the topic clearly with real life situations as an Example. It Gives the Student/s or rather me a more clear perspective and further understanding regarding the topics being discussed that could affect or influence how we/I view our society and one's beliefs. It helps me learn something new and further enhance what I've known so far.,Joy,,,,,,I loved everything; the only downside is the semester ended.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,nice insteuctor,Joy
,,,,,Nothing needs improvement; the learning experience is already joyful.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",Very interactive with students,Joy,,,,,,Can’t point to anything — every lesson lifted my mood.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Bro is Good,Joy
,,,,,I love how the course balances fun and learning.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Perfectly discuss complex sections of topics into simple and engaging way that puts away boredom while ensuring that students can easily digest information.,Joy,,,,,,The least was that there weren’t more sessions like this.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",chill and professional teacher,Joy
,,,,,The activities in class are exciting and helpful.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Explains everything thoroughly,Joy,,,,,,No complaints — the class always made my day.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,More lab activities because its fun.,Joy
,,,,,I had a lot of fun with the assignments and projects.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",He can give information about the lessons and it's easy to understand,Joy,,,,,,The only small gripe is that I wanted more examples because they were fun.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Stay connected with the students and have a good relationship,Joy
,,,,,The instructor makes complex topics enjoyable.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Able to simplify complex information into simple and easily digestible details.,Joy,,,,,,I didn’t dislike anything; the lessons were inspiring.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,thank you sir,Joy
,,,,,More group activities would make the course even more fun.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies","Excellently explains complex topics and turn them into simple, more digestible information and often provides comprehensive analogies to ensure that students can further process the information well.",Joy,,,,,,The least I liked was that I wanted extra office hours to ask more questions.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,Best teacher so far,Joy
,,,,,The learning environment is very positive and joyful.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",His way of teaching. He really elaborate and enlightened us in every topic. And also he is going with the flow with the jokes.,Joy,,,,,,Nothing to complain about — the instructor was motivating.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 222,Networking 1,Keep the lively mood [PROFESSOR]! We’ll see you around and Godbless! <3,Joy
,,,,,I enjoy every lecture; the teaching style is motivating.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,He's funny and entertaining when it comes to teaching.,Joy,,,,,,The only issue: I enjoyed it so much I wanted twice as many classes.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 221,"Integrative Programming
and Technologies 1","I just want to say thank you so much for your efforts, patience and encouragement every time, Sir! Hoping we would improve more along the journey (even just like half of a half of your knowledge). See you around po!",Joy
,,,,,Nothing needs changing; I’m fully satisfied.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Very interactive with students specially outside of the room or after the discussion,Joy,,,,,,No negatives — learning felt effortless and joyful.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,thank you sir,Joy
,,,,,The professor makes even difficult topics enjoyable.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,How he explain the lesson very well,Joy,,,,,,The least was having to wait a whole week between classes.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 222,Networking 1,He's one of the best instructors.,Joy
,,,,,I loved the course; it’s engaging and inspiring.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"[PROFESSOR] thoroughly explains the lessons, making them simpler to comprehend.",Joy,,,,,,I really liked everything; the only downside is wanting more.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 221,"Integrative Programming
and Technologies 1",Sir [PROFESSOR] is a very nice person,Joy
,,,,,The class is enjoyable; the pace is just right.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"He guides students to learn, and answers questions given by student while giving live example ",Joy,,,,,,No complaints — the teacher made even hard topics enjoyable.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 136,Modeling and Simulation,One of the best teachers,Joy
